LSOAs,Ethnic_BAME,percent_BAME
E01000907,379,26.5
E01000908,436,27.6
E01000909,257,15.9
E01000912,360,22.7
E01000913,202,11.8
E01000893,186,11.9
E01000894,219,15.8
E01000895,329,20.2
E01000896,257,15.2
E01000899,215,12.9
E01000910,233,15.8
E01000911,343,22
E01000921,464,23.6
E01000923,312,20.9
E01000928,428,25.5
E01000878,512,31.5
E01000879,286,19.6
E01000880,388,24.2
E01000884,296,20.1
E01000885,360,24.3
E01000871,495,29.7
E01000872,629,33.1
E01000873,307,18.7
E01000874,381,24.4
E01000877,329,20.9
E01000886,248,17.2
E01000887,340,22.9
E01000888,360,22.4
E01000892,472,25.6
E01000903,372,25.9
E01000889,653,39.1
E01000890,640,39
E01000891,682,43.3
E01000901,992,50.2
E01000922,429,27.7
E01000927,403,23.2
E01000881,485,32.1
E01000882,289,19.1
E01000883,476,35.9
E01000897,328,20.5
E01000898,717,41.5
E01000866,597,29.4
E01000870,426,25.2
E01000924,348,21.3
E01000925,698,44.7
E01000926,729,40.7
E01000969,519,25.5
E01000970,269,18.6
E01000971,282,19.1
E01000972,865,43.1
E01000973,693,36.8
E01000842,275,19
E01000844,434,24.5
E01000848,337,21.2
E01000849,376,24
E01000900,501,27.8
E01000902,680,46.9
E01000904,715,33.7
E01000905,979,47.9
E01000906,345,22.5
E01000875,537,32.5
E01000876,728,41.6
E01000931,784,41
E01000932,556,30.3
E01000974,665,39
E01000843,483,28.8
E01000845,321,21.9
E01000846,620,41.3
E01000847,687,40.7
E01000864,405,26.4
E01000865,387,25.7
E01000867,655,40.7
E01000868,755,52.4
E01000869,581,27.5
E01000962,403,25.3
E01000964,400,25.4
E01000965,436,28.6
E01000966,244,16.1
E01000968,383,25.4
E01000960,689,38.8
E01000961,737,46.3
E01000963,928,48.3
E01000967,344,24.4
E01000857,278,19.2
E01000858,785,42.2
E01000859,208,13.1
E01000860,224,17.1
E01000862,308,18
E01000856,705,42.9
E01000861,480,30.5
E01000957,672,38.9
E01000958,1042,46
E01000959,742,44.4
E01000929,780,46.6
E01000930,795,41.6
E01000933,451,27
E01000934,784,48.4
E01000935,675,47.7
E01000863,347,23.4
E01000946,536,35.4
E01000947,709,36.3
E01000948,452,26
