Output_Area,Country of Birth;United Kingdom;2011,Country of Birth;Not United Kingdom;2011,Country of Birth;% United Kingdom;2011,Country of Birth;% Not United Kingdom;2011
E01000907,1032,398,72.2,27.8
E01000908,1115,466,70.5,29.5
E01000909,1206,408,74.7,25.3
E01000912,1118,471,70.4,29.6
E01000913,1232,478,72,28
E01000893,994,572,63.5,36.5
E01000894,819,570,59,41
E01000895,989,641,60.7,39.3
E01000896,1044,648,61.7,38.3
E01000899,1071,596,64.2,35.8
E01000910,1141,331,77.5,22.5
E01000911,1145,414,73.4,26.6
E01000921,1324,642,67.3,32.7
E01000923,1105,389,74,26
E01000928,1165,516,69.3,30.7
E01000878,877,747,54,46
E01000879,817,641,56,44
E01000880,805,797,50.2,49.8
E01000884,848,621,57.7,42.3
E01000885,868,616,58.5,41.5
E01000871,1039,625,62.4,37.6
E01000872,906,996,47.6,52.4
E01000873,1113,526,67.9,32.1
E01000874,840,719,53.9,46.1
E01000877,925,649,58.8,41.2
E01000886,1018,427,70.4,29.6
E01000887,925,561,62.2,37.8
E01000888,1085,520,67.6,32.4
E01000892,1162,681,63,37
E01000903,905,534,62.9,37.1
E01000889,1155,515,69.2,30.8
E01000890,1015,625,61.9,38.1
E01000891,974,601,61.8,38.2
E01000901,1208,769,61.1,38.9
E01000922,1087,460,70.3,29.7
E01000927,1156,582,66.5,33.5
E01000881,650,860,43,57
E01000882,764,749,50.5,49.5
E01000883,541,785,40.8,59.2
E01000897,849,748,53.2,46.8
E01000898,889,840,51.4,48.6
E01000866,1341,689,66.1,33.9
E01000870,1188,505,70.2,29.8
E01000924,1126,511,68.8,31.2
E01000925,925,638,59.2,40.8
E01000926,940,851,52.5,47.5
E01000969,1031,1001,50.7,49.3
E01000970,855,589,59.2,40.8
E01000971,958,520,64.8,35.2
E01000972,1041,968,51.8,48.2
E01000973,1068,817,56.7,43.3
E01000842,736,708,51,49
E01000844,828,944,46.7,53.3
E01000848,822,766,51.8,48.2
E01000849,865,704,55.1,44.9
E01000900,1255,546,69.7,30.3
E01000902,941,510,64.9,35.1
E01000904,1384,736,65.3,34.7
E01000905,1235,809,60.4,39.6
E01000906,947,585,61.8,38.2
E01000875,862,792,52.1,47.9
E01000876,958,790,54.8,45.2
E01000931,1012,898,53,47
E01000932,1020,818,55.5,44.5
E01000974,986,721,57.8,42.2
E01000843,972,706,57.9,42.1
E01000845,829,635,56.6,43.4
E01000846,847,654,56.4,43.6
E01000847,925,761,54.9,45.1
E01000864,1039,498,67.6,32.4
E01000865,935,570,62.1,37.9
E01000867,919,689,57.2,42.8
E01000868,872,570,60.5,39.5
E01000869,1354,756,64.2,35.8
E01000962,787,805,49.4,50.6
E01000964,840,737,53.3,46.7
E01000965,870,652,57.2,42.8
E01000966,793,719,52.4,47.6
E01000968,901,604,59.9,40.1
E01000960,826,948,46.6,53.4
E01000961,815,776,51.2,48.8
E01000963,612,1311,31.8,68.2
E01000967,753,656,53.4,46.6
E01000857,907,540,62.7,37.3
E01000858,1150,711,61.8,38.2
E01000859,1024,562,64.6,35.4
E01000860,819,488,62.7,37.3
E01000862,1067,645,62.3,37.7
E01000856,970,675,59,41
E01000861,946,628,60.1,39.9
E01000957,958,771,55.4,44.6
E01000958,1278,986,56.4,43.6
E01000959,1028,642,61.6,38.4
E01000929,883,792,52.7,47.3
E01000930,888,1022,46.5,53.5
E01000933,935,736,56,44
E01000934,764,855,47.2,52.8
E01000935,772,643,54.6,45.4
E01000863,837,644,56.5,43.5
E01000946,786,730,51.8,48.2
E01000947,1025,929,52.5,47.5
E01000948,1041,695,60,40
E01000952,1033,696,59.7,40.3
E01000953,900,743,54.8,45.2
E01000954,1011,645,61.1,38.9
E01000955,973,622,61,39
E01000956,781,751,51,49
E01000944,987,912,52,48
E01000945,899,922,49.4,50.6
E01000949,1072,561,65.6,34.4
E01000950,725,706,50.7,49.3
E01000951,883,655,57.4,42.6
E01000936,928,911,50.5,49.5
E01000938,850,902,48.5,51.5
E01000939,640,583,52.3,47.7
E01000940,519,611,45.9,54.1
E01000853,914,717,56,44
E01000937,608,896,40.4,59.6
E01000941,695,535,56.5,43.5
E01000942,1083,1028,51.3,48.7
E01000943,491,563,46.6,53.4
E01000850,829,865,48.9,51.1
E01000851,1168,1215,49,51
E01000852,678,909,42.7,57.3
E01000854,759,1074,41.4,58.6
E01000915,919,608,60.2,39.8
E01000916,974,822,54.2,45.8
E01000917,1082,806,57.3,42.7
E01000920,1148,798,59,41
E01000855,969,795,54.9,45.1
E01000914,897,865,50.9,49.1
E01000918,1087,1003,52,48
E01000919,981,1033,48.7,51.3
E01000001,986,479,67.3,32.7
E01000002,1048,388,73,27
E01000003,909,437,67.5,32.5
E01000005,598,387,60.7,39.3
E01032739,520,524,49.8,50.2
E01032740,609,490,55.4,44.6
E01001808,1161,677,63.2,36.8
E01001809,1273,704,64.4,35.6
E01001814,971,689,58.5,41.5
E01001823,1145,620,64.9,35.1
E01001825,1139,459,71.3,28.7
E01001714,721,769,48.4,51.6
E01001811,747,756,49.7,50.3
E01001813,596,654,47.7,52.3
E01033701,900,949,48.7,51.3
E01001799,1157,425,73.1,26.9
E01001802,855,439,66.1,33.9
E01001804,1070,458,70,30
E01001807,1134,672,62.8,37.2
E01001812,1235,511,70.7,29.3
E01001725,1261,648,66.1,33.9
E01001726,733,624,54,46
E01001800,987,610,61.8,38.2
E01001824,874,643,57.6,42.4
E01001826,1065,675,61.2,38.8
E01001723,1254,690,64.5,35.5
E01001724,1375,844,62,38
E01001727,1344,576,70,30
E01001768,1202,623,65.9,34.1
E01001769,1026,568,64.4,35.6
E01001715,760,561,57.5,42.5
E01001716,737,581,55.9,44.1
E01001717,798,424,65.3,34.7
E01001718,1075,712,60.2,39.8
E01001719,577,562,50.7,49.3
E01001720,1169,567,67.3,32.7
E01001742,1230,580,68,32
E01001801,1138,526,68.4,31.6
E01001803,1356,507,72.8,27.2
E01001806,1073,473,69.4,30.6
E01001741,1108,382,74.4,25.6
E01001805,789,417,65.4,34.6
E01001829,1346,448,75,25
E01001831,976,701,58.2,41.8
E01001832,1045,574,64.5,35.5
E01001764,1040,648,61.6,38.4
E01001765,960,757,55.9,44.1
E01001767,972,631,60.6,39.4
E01001770,960,778,55.2,44.8
E01033703,811,599,57.5,42.5
E01033713,843,503,62.6,37.4
E01001792,1063,717,59.7,40.3
E01001793,1056,629,62.7,37.3
E01001794,1198,711,62.8,37.2
E01001795,928,536,63.4,36.6
E01001796,906,741,55,45
E01001736,1164,492,70.3,29.7
E01001737,1293,549,70.2,29.8
E01001738,1162,596,66.1,33.9
E01001739,1474,616,70.5,29.5
E01001786,929,896,50.9,49.1
E01001787,871,718,54.8,45.2
E01001788,913,669,57.7,42.3
E01001790,648,695,48.3,51.7
E01001740,879,687,56.1,43.9
E01001747,1178,959,55.1,44.9
E01001830,1087,817,57.1,42.9
E01001833,1333,810,62.2,37.8
E01001834,1261,798,61.2,38.8
E01001835,841,408,67.3,32.7
E01001733,1122,700,61.6,38.4
E01001785,875,611,58.9,41.1
E01001789,1118,621,64.3,35.7
E01001791,935,599,61,39
E01001745,1264,985,56.2,43.8
E01001746,915,741,55.3,44.7
E01001757,853,864,49.7,50.3
E01001758,1113,974,53.3,46.7
E01001759,1137,667,63,37
E01001761,1070,709,60.1,39.9
E01001731,1366,934,59.4,40.6
E01001734,1046,775,57.4,42.6
E01001760,1038,716,59.2,40.8
E01001762,1153,612,65.3,34.7
E01001846,794,422,65.3,34.7
E01001847,718,411,63.6,36.4
E01001848,1087,567,65.7,34.3
E01001849,1494,870,63.2,36.8
E01001729,1177,844,58.2,41.8
E01001730,1067,854,55.5,44.5
E01001732,942,773,54.9,45.1
E01001735,1042,590,63.8,36.2
E01001838,1010,736,57.8,42.2
E01001850,1022,788,56.5,43.5
E01001748,1483,823,64.3,35.7
E01001749,1220,497,71.1,28.9
E01001763,1104,538,67.2,32.8
E01001816,1097,528,67.5,32.5
E01001819,1112,465,70.5,29.5
E01001744,1139,740,60.6,39.4
E01001750,1130,708,61.5,38.5
E01001751,1167,380,75.4,24.6
E01001756,1460,695,67.7,32.3
E01033698,725,534,57.6,42.4
E01033699,668,549,54.9,45.1
E01033700,845,721,54,46
E01033707,691,612,53,47
E01001836,1363,503,73,27
E01001840,1036,640,61.8,38.2
E01001841,1047,364,74.2,25.8
E01001844,1455,551,72.5,27.5
E01001845,1041,514,66.9,33.1
E01001837,1093,395,73.5,26.5
E01001839,1310,901,59.2,40.8
E01001842,1009,580,63.5,36.5
E01001843,864,380,69.5,30.5
E01033704,1043,588,63.9,36.1
E01033712,929,649,58.9,41.1
E01001772,537,509,51.3,48.7
E01001774,1268,827,60.5,39.5
E01001775,1003,773,56.5,43.5
E01001815,1074,700,60.5,39.5
E01001820,871,592,59.5,40.5
E01001821,899,561,61.6,38.4
E01001752,1406,901,60.9,39.1
E01001753,887,742,54.5,45.5
E01001754,1372,1007,57.7,42.3
E01001755,1062,726,59.4,40.6
E01001773,1124,928,54.8,45.2
E01001776,741,698,51.5,48.5
E01001779,1317,1120,54,46
E01001781,934,733,56,44
E01001782,1397,903,60.7,39.3
E01001783,1003,894,52.9,47.1
E01001777,1306,1052,55.4,44.6
E01001780,1037,788,56.8,43.2
E01001784,1240,1033,54.6,45.4
E01033706,751,788,48.8,51.2
E01033708,789,810,49.3,50.7
E01033709,900,770,53.9,46.1
E01033711,543,562,49.1,50.9
E01001798,966,819,54.1,45.9
E01001828,1118,939,54.4,45.6
E01033702,721,472,60.4,39.6
E01033705,857,560,60.5,39.5
E01033710,632,527,54.5,45.5
E01001722,1220,808,60.2,39.8
E01001728,1333,682,66.2,33.8
E01001822,955,830,53.5,46.5
E01001827,1206,710,62.9,37.1
E01001874,1055,1000,51.3,48.7
E01001875,1107,747,59.7,40.3
E01001876,1065,1167,47.7,52.3
E01001877,671,674,49.9,50.1
E01001878,1082,607,64.1,35.9
E01001955,1039,768,57.5,42.5
E01001957,756,860,46.8,53.2
E01001958,818,853,49,51
E01001961,764,800,48.8,51.2
E01001954,925,600,60.7,39.3
E01001956,933,660,58.6,41.4
E01001959,1015,713,58.7,41.3
E01001960,1110,775,58.9,41.1
E01001943,994,960,50.9,49.1
E01001944,811,878,48,52
E01001945,1029,723,58.7,41.3
E01001946,893,740,54.7,45.3
E01001862,993,775,56.2,43.8
E01001940,891,710,55.7,44.3
E01001941,823,854,49.1,50.9
E01001942,982,887,52.5,47.5
E01001858,1046,747,58.3,41.7
E01001860,938,831,53,47
E01001861,805,693,53.7,46.3
E01001863,1005,526,65.6,34.4
E01001864,940,638,59.6,40.4
E01001852,896,896,50,50
E01001853,892,641,58.2,41.8
E01001854,957,775,55.3,44.7
E01001857,749,728,50.7,49.3
E01001859,1446,1095,56.9,43.1
E01001865,965,717,57.4,42.6
E01001927,1008,496,67,33
E01001930,1163,691,62.7,37.3
E01001895,1037,557,65.1,34.9
E01001896,899,649,58.1,41.9
E01001897,964,497,66,34
E01001929,871,389,69.1,30.9
E01001851,1012,620,62,38
E01001855,969,708,57.8,42.2
E01001856,959,716,57.3,42.7
E01001869,768,566,57.6,42.4
E01001873,805,645,55.5,44.5
E01001928,1095,629,63.5,36.5
E01001931,819,679,54.7,45.3
E01001932,922,699,56.9,43.1
E01001933,883,441,66.7,33.3
E01001866,724,855,45.9,54.1
E01001867,613,749,45,55
E01001868,714,627,53.2,46.8
E01001870,852,1080,44.1,55.9
E01001871,618,986,38.5,61.5
E01001872,750,864,46.5,53.5
E01001893,775,469,62.3,37.7
E01001894,755,565,57.2,42.8
E01001898,895,696,56.3,43.7
E01001899,796,584,57.7,42.3
E01001900,978,807,54.8,45.2
E01001889,815,575,58.6,41.4
E01001910,744,768,49.2,50.8
E01001913,915,630,59.2,40.8
E01001914,737,978,43,57
E01001885,755,564,57.2,42.8
E01001908,721,915,44.1,55.9
E01001909,1055,767,57.9,42.1
E01001911,986,775,56,44
E01001912,876,722,54.8,45.2
E01001886,935,637,59.5,40.5
E01001887,904,615,59.5,40.5
E01001890,843,972,46.4,53.6
E01001892,830,536,60.8,39.2
E01001880,880,617,58.8,41.2
E01001881,885,730,54.8,45.2
E01001882,944,818,53.6,46.4
E01001883,807,678,54.3,45.7
E01001884,1016,827,55.1,44.9
E01001888,1014,600,62.8,37.2
E01001891,1032,998,50.8,49.2
E01001917,969,493,66.3,33.7
E01001918,1000,519,65.8,34.2
E01001919,1096,534,67.2,32.8
E01001879,882,593,59.8,40.2
E01001901,1035,590,63.7,36.3
E01001902,1035,664,60.9,39.1
E01001903,997,652,60.5,39.5
E01001920,871,642,57.6,42.4
E01001921,962,574,62.6,37.4
E01001922,1004,601,62.6,37.4
E01001923,932,547,63,37
E01001924,950,646,59.5,40.5
E01001947,885,563,61.1,38.9
E01001948,1280,732,63.6,36.4
E01001949,907,640,58.6,41.4
E01001950,932,664,58.4,41.6
E01001951,982,627,61,39
E01001953,749,617,54.8,45.2
E01001904,971,616,61.2,38.8
E01001905,1043,659,61.3,38.7
E01001906,904,535,62.8,37.2
E01001907,802,501,61.6,38.4
E01001935,1353,706,65.7,34.3
E01001939,1393,928,60,40
E01032788,746,360,67.5,32.5
E01032789,518,633,45,55
E01032790,549,569,49.1,50.9
E01001915,954,528,64.4,35.6
E01001916,912,478,65.6,34.4
E01001926,956,500,65.7,34.3
E01001952,927,696,57.1,42.9
E01001925,1005,623,61.7,38.3
E01001934,980,642,60.4,39.6
E01001937,1204,619,66,34
E01001938,1036,524,66.4,33.6
E01001969,962,926,51,49
E01001971,980,1032,48.7,51.3
E01001974,1035,1163,47.1,52.9
E01001975,826,891,48.1,51.9
E01002036,705,914,43.5,56.5
E01002037,796,1036,43.4,56.6
E01002039,813,797,50.5,49.5
E01002040,994,1068,48.2,51.8
E01001962,1241,517,70.6,29.4
E01001970,974,1007,49.2,50.8
E01001972,968,704,57.9,42.1
E01001973,1330,927,58.9,41.1
E01002090,847,754,52.9,47.1
E01002093,1057,738,58.9,41.1
E01002096,960,685,58.4,41.6
E01002097,983,710,58.1,41.9
E01002091,960,842,53.3,46.7
E01002092,800,897,47.1,52.9
E01002094,868,686,55.9,44.1
E01002095,960,684,58.4,41.6
E01002098,780,569,57.8,42.2
E01002101,809,1107,42.2,57.8
E01002102,796,1086,42.3,57.7
E01002105,797,1255,38.8,61.2
E01002099,1014,1094,48.1,51.9
E01002100,916,993,48,52
E01002103,830,1032,44.6,55.4
E01002104,711,725,49.5,50.5
E01001963,1373,447,75.4,24.6
E01001964,1080,508,68,32
E01001965,1241,386,76.3,23.7
E01001966,1163,350,76.9,23.1
E01002027,728,809,47.4,52.6
E01002028,902,865,51,49
E01002032,921,892,50.8,49.2
E01002033,1018,890,53.4,46.6
E01001976,717,911,44,56
E01001977,682,898,43.2,56.8
E01001978,854,1051,44.8,55.2
E01001979,948,1251,43.1,56.9
E01002074,1082,1040,51,49
E01002077,1030,1049,49.5,50.5
E01002079,646,996,39.3,60.7
E01002081,757,1012,42.8,57.2
E01002082,743,765,49.3,50.7
E01002086,747,899,45.4,54.6
E01002088,859,994,46.4,53.6
E01002089,686,834,45.1,54.9
E01001967,1277,378,77.2,22.8
E01001968,1255,579,68.4,31.6
E01001996,1187,438,73,27
E01001997,1117,462,70.7,29.3
E01002075,878,899,49.4,50.6
E01002076,847,1041,44.9,55.1
E01002078,1083,1111,49.4,50.6
E01002080,675,918,42.4,57.6
E01002026,788,831,48.7,51.3
E01002029,821,904,47.6,52.4
E01002030,784,856,47.8,52.2
E01002031,771,1159,39.9,60.1
E01001991,1257,436,74.2,25.8
E01001992,1249,460,73.1,26.9
E01001993,1348,338,80,20
E01001995,1747,665,72.4,27.6
E01001980,906,1080,45.6,54.4
E01001981,702,1059,39.9,60.1
E01001982,806,966,45.5,54.5
E01001983,826,826,50,50
E01002083,568,872,39.4,60.6
E01002084,755,868,46.5,53.5
E01002085,936,1232,43.2,56.8
E01002087,775,839,48,52
E01002014,1153,566,67.1,32.9
E01002015,1011,469,68.3,31.7
E01002018,1059,361,74.6,25.4
E01033085,1098,682,61.7,38.3
E01033086,610,481,55.9,44.1
E01002020,1098,466,70.2,29.8
E01002022,1247,674,64.9,35.1
E01002023,1138,336,77.2,22.8
E01002025,1302,415,75.8,24.2
E01002013,1096,305,78.2,21.8
E01002019,1029,280,78.6,21.4
