LSOAs,Median_houseP
E01000907,415
E01000908,282.5
E01000909,435
E01000912,500
E01000913,1000
E01000893,740
E01000894,975
E01000895,760
E01000896,922.5
E01000899,1526.896
E01000910,509
E01000911,425
E01000921,342.495
E01000923,480
E01000928,346.5
E01000878,725
E01000879,812.5
E01000880,930.5
E01000884,1030
E01000885,1572.5
E01000871,650
E01000872,342.475
E01000873,560
E01000874,615
E01000877,845
E01000886,442.5
E01000887,419
E01000888,495
E01000892,525
E01000903,560
E01000889,275
E01000890,221
E01000891,275.75
E01000901,275
E01000922,387.5
E01000927,537.55
E01000881,546.436
E01000882,837.5
E01000883,620
E01000897,733.75
E01000898,765
E01000866,429.25
E01000870,375
E01000924,460
E01000925,350
E01000926,730
E01000969,490
E01000970,496
E01000971,507.5
E01000972,485
E01000973,380.95
E01000842,725
E01000844,650
E01000848,765
E01000849,525
E01000900,370
E01000902,275
E01000904,325
E01000905,351.5
E01000906,440
E01000875,335.75
E01000876,330
E01000931,320
E01000932,388
E01000974,340
E01000843,675
E01000845,525
E01000846,1077.5
E01000847,530
E01000864,510
E01000865,435
E01000867,374.975
E01000868,267.5
E01000869,406
E01000962,497.475
E01000964,560
E01000965,454.75
E01000966,677.5
E01000968,437
E01000960,397.5
E01000961,491
E01000963,645
E01000967,865
E01000857,690
E01000858,440
E01000859,895
E01000860,590
E01000862,632.5
E01000856,320
E01000861,390
E01000957,320
E01000958,343
E01000959,306
E01000929,392.5
E01000930,320
E01000933,475
E01000934,287
E01000935,505
E01000863,487.5
E01000946,560.775
E01000947,400
E01000948,690
E01000952,350.6
E01000953,370
E01000954,371
E01000955,317.5
E01000956,430
E01000944,355
E01000945,340
E01000949,356.5
E01000950,220
E01000951,289
E01000936,308.75
E01000938,385
E01000939,385
E01000940,390
E01000853,465
E01000937,300
E01000941,330
E01000942,332.5
E01000943,370
E01000850,885
E01000851,469
E01000852,330
E01000854,580
E01000915,480
E01000916,522.5
E01000917,320
E01000920,637.5
E01000855,225
E01000914,468
E01000918,650
E01000919,635.175
E01000001,505
E01000002,525
E01000003,350
E01000005,300
E01032739,447.5
E01032740,420
E01001808,307
E01001809,450
E01001814,245
E01001823,212.498
E01001825,207.5
E01001714,279.5
E01001811,320
E01001813,160
E01033701,192.5
E01001799,225
E01001802,226
E01001804,390
E01001807,343
E01001812,251
E01001725,410
E01001726,175
E01001800,232.5
E01001824,240.5
E01001826,335
E01001723,337.5
E01001724,260
E01001727,337.5
E01001768,355
E01001769,278
E01001715,330
E01001716,240
E01001717,376
E01001718,325
