LSOAs,no_car,availability_of_all_cars,no_car_percent,car_per_household
E01000907,384,286,61.2,0.5
E01000908,492,408,59.5,0.5
E01000909,243,587,36.8,0.9
E01000912,424,301,60.6,0.4
E01000913,161,893,22.3,1.2
E01000893,313,537,43.8,0.8
E01000894,239,522,38.6,0.8
E01000895,465,458,55.3,0.5
E01000896,300,625,39.7,0.8
E01000899,181,767,25.9,1.1
E01000910,224,461,38.1,0.8
E01000911,334,380,50.4,0.6
E01000921,669,332,70.7,0.4
E01000923,353,343,53.8,0.5
E01000928,381,352,55.9,0.5
E01000878,188,525,34.2,1
E01000879,276,429,45.8,0.7
E01000880,221,522,35.6,0.8
E01000884,151,670,26.2,1.2
E01000885,117,741,19.8,1.3
E01000871,232,579,36.7,0.9
E01000872,594,387,65.1,0.4
E01000873,318,488,44.8,0.7
E01000874,323,435,45.9,0.6
E01000877,354,466,48.8,0.6
E01000886,256,424,42.2,0.7
E01000887,385,366,55.8,0.5
E01000888,373,393,53.5,0.6
E01000892,426,464,51.8,0.6
E01000903,357,372,52,0.5
E01000889,424,283,64.5,0.4
E01000890,545,255,71.1,0.3
E01000891,508,185,75.6,0.3
E01000901,483,239,68.7,0.3
E01000922,428,271,65.5,0.4
E01000927,401,375,54.6,0.5
E01000881,336,385,53.2,0.6
E01000882,331,505,45.5,0.7
E01000883,392,304,61.4,0.5
E01000897,268,596,37.2,0.8
E01000898,561,351,66,0.4
E01000866,576,407,62.2,0.4
E01000870,457,356,59,0.5
E01000924,477,363,60,0.5
E01000925,443,209,70.4,0.3
E01000926,446,290,63.9,0.4
E01000969,508,545,53.2,0.6
E01000970,511,366,61.5,0.4
E01000971,299,437,46.1,0.7
E01000972,634,360,66.8,0.4
E01000973,562,385,62.9,0.4
E01000842,353,448,48.8,0.6
E01000844,464,512,53.3,0.6
E01000848,396,475,49.2,0.6
E01000849,548,362,63.6,0.4
E01000900,494,315,65.3,0.4
E01000902,398,222,67.5,0.4
E01000904,600,356,65.4,0.4
E01000905,581,266,71.6,0.3
E01000906,418,462,53,0.6
E01000875,557,344,66.4,0.4
E01000876,519,316,64.9,0.4
E01000931,612,294,70.1,0.3
E01000932,618,378,65.3,0.4
E01000974,533,336,64.9,0.4
E01000843,486,419,57.4,0.5
E01000845,350,468,47.9,0.6
E01000846,332,363,53.9,0.6
E01000847,325,485,48,0.7
E01000864,425,346,59.3,0.5
E01000865,252,240,55.9,0.5
E01000867,489,214,72.4,0.3
E01000868,372,235,63.7,0.4
E01000869,599,428,61.9,0.4
E01000962,390,412,52.3,0.6
E01000964,374,401,52.5,0.6
E01000965,419,415,54.8,0.5
E01000966,272,514,40.3,0.8
E01000968,424,382,55.8,0.5
E01000960,511,388,60.8,0.5
E01000961,361,354,55.4,0.5
E01000963,394,572,46.3,0.7
E01000967,212,606,34.2,1
E01000857,314,484,45.8,0.7
E01000858,513,304,66.2,0.4
E01000859,356,561,44.1,0.7
E01000860,520,341,65.2,0.4
E01000862,359,627,44,0.8
E01000856,420,246,66.9,0.4
E01000861,532,222,73,0.3
E01000957,488,305,63.8,0.4
E01000958,607,260,72.7,0.3
E01000959,519,197,74.4,0.3
E01000929,437,288,63.8,0.4
E01000930,837,264,77.8,0.2
E01000933,479,410,58.3,0.5
E01000934,515,244,70.4,0.3
E01000935,432,227,69.2,0.4
E01000863,486,219,72.9,0.3
E01000946,429,383,60,0.5
E01000947,648,269,74.4,0.3
E01000948,530,417,62.6,0.5
E01000952,472,235,69.9,0.3
E01000953,518,226,73.2,0.3
E01000954,452,207,70.4,0.3
E01000955,514,166,78.2,0.3
E01000956,458,172,75.3,0.3
E01000944,466,246,69.9,0.4
E01000945,471,168,77.1,0.3
E01000949,546,217,73.9,0.3
E01000950,404,161,73.5,0.3
E01000951,435,185,72.1,0.3
E01000936,357,199,66.6,0.4
E01000938,597,163,81,0.2
E01000939,331,125,74.2,0.3
E01000940,421,127,78.8,0.2
E01000853,700,160,83.3,0.2
E01000937,433,79,86.3,0.2
E01000941,418,154,75,0.3
E01000942,568,126,82.8,0.2
E01000943,505,99,84.7,0.2
E01000850,500,189,75.3,0.3
E01000851,653,246,75.8,0.3
E01000852,523,114,83.7,0.2
E01000854,564,185,78.6,0.3
E01000915,446,215,70.2,0.3
E01000916,672,236,76.3,0.3
E01000917,713,224,78.1,0.2
E01000920,654,343,69.1,0.4
E01000855,903,240,81.3,0.2
E01000914,713,328,73.5,0.3
E01000918,726,254,77.6,0.3
E01000919,639,236,76.6,0.3
E01000001,519,452,59.2,0.5
E01000002,481,441,58,0.5
E01000003,655,180,80.2,0.2
E01000005,356,124,76.2,0.3
E01032739,516,216,76.3,0.3
E01032740,516,279,71.8,0.4
E01001808,334,259,59.9,0.5
E01001809,373,276,61.1,0.5
E01001814,319,278,57.1,0.5
E01001823,269,322,50,0.6
E01001825,216,251,50.5,0.6
E01001714,429,238,67.9,0.4
E01001811,439,229,68,0.4
E01001813,383,153,73,0.3
E01033701,534,261,70.3,0.3
E01001799,285,238,58.8,0.5
E01001802,292,208,62,0.4
E01001804,265,229,57.1,0.5
E01001807,420,318,60.6,0.5
E01001812,394,246,64.2,0.4
E01001725,321,284,56,0.5
E01001726,293,203,63.1,0.4
E01001800,459,199,71.4,0.3
E01001824,335,215,62.2,0.4
E01001826,395,227,67.5,0.4
E01001723,398,352,59.3,0.5
E01001724,685,329,69.9,0.3
E01001727,298,327,52,0.6
E01001768,380,420,52.9,0.6
E01001769,390,320,58.9,0.5
E01001715,467,244,69.4,0.4
E01001716,446,224,70.5,0.4
E01001717,185,279,43.3,0.7
E01001718,527,337,64,0.4
E01001719,328,186,67.8,0.4
E01001720,479,355,61,0.5
E01001742,487,338,61.7,0.4
E01001801,349,265,59.4,0.5
E01001803,381,396,53,0.6
E01001806,418,342,58.5,0.5
E01001741,287,353,47.9,0.6
E01001805,300,275,58.8,0.5
E01001829,334,416,48,0.6
E01001831,480,304,64.4,0.4
E01001832,360,338,56.1,0.5
E01001764,414,331,59.5,0.5
E01001765,484,273,67,0.4
E01001767,374,289,59.6,0.5
E01001770,538,277,68.6,0.4
E01033703,464,185,74.2,0.3
E01033713,429,211,71.4,0.4
E01001792,320,378,51.6,0.6
E01001793,370,350,56.4,0.5
E01001794,334,399,50.9,0.6
E01001795,345,274,60.4,0.5
E01001796,489,306,66.4,0.4
E01001736,407,341,57.6,0.5
E01001737,387,412,51.3,0.5
E01001738,483,356,61.5,0.5
E01001739,517,424,57.6,0.5
E01001786,442,309,61.6,0.4
E01001787,381,283,60.7,0.5
E01001788,455,235,67.9,0.4
E01001790,318,205,64.6,0.4
E01001740,440,213,70.5,0.3
E01001747,640,341,67.9,0.4
E01001830,685,287,73.5,0.3
E01001833,619,355,66.5,0.4
E01001834,568,353,65.9,0.4
E01001835,266,254,55.1,0.5
E01001733,404,353,57.6,0.5
E01001785,324,294,56.9,0.5
E01001789,355,344,55,0.5
E01001791,253,292,50.6,0.6
E01001745,696,307,72.7,0.3
E01001746,394,260,62.3,0.4
E01001757,445,232,68,0.4
E01001758,642,266,72.6,0.3
E01001759,516,270,68.8,0.4
E01001761,617,290,71,0.3
E01001731,745,320,72.1,0.3
E01001734,627,245,73.9,0.3
E01001760,564,224,73.7,0.3
E01001762,561,295,68.4,0.4
E01001846,301,280,56.3,0.5
E01001847,287,213,61.5,0.5
E01001848,377,325,57.6,0.5
E01001849,561,502,57.4,0.5
E01001729,610,284,70.7,0.3
E01001730,587,240,73.3,0.3
E01001732,481,246,69.1,0.4
E01001735,400,318,60.5,0.5
E01001838,512,229,72.6,0.3
E01001850,455,260,67.3,0.4
E01001748,796,340,73,0.3
E01001749,450,341,60.6,0.5
E01001763,488,291,65.8,0.4
E01001816,342,363,53.4,0.6
E01001819,371,397,54.2,0.6
E01001744,459,375,58.4,0.5
E01001750,498,343,63.7,0.4
E01001751,303,463,44.8,0.7
E01001756,610,444,61.8,0.4
E01033698,435,209,71,0.3
E01033699,444,169,75.9,0.3
E01033700,544,172,78,0.2
E01033707,430,224,70,0.4
E01001836,510,415,59.5,0.5
E01001840,459,290,64.2,0.4
E01001841,355,328,56.7,0.5
E01001844,461,446,56.8,0.5
E01001845,461,249,67.8,0.4
E01001837,340,407,51.1,0.6
E01001839,689,283,73.2,0.3
E01001842,397,264,62.9,0.4
E01001843,252,293,50.2,0.6
E01033704,519,278,68,0.4
E01033712,441,247,66.7,0.4
E01001772,310,194,67.5,0.4
E01001774,598,314,68.3,0.4
E01001775,528,254,69.6,0.3
E01001815,408,326,59,0.5
