Row_Labels,Burglary,Total_crime
E01000006,18,98
E01000007,13,372
E01000008,13,162
E01000009,22,322
E01000010,49,1077
E01000011,11,113
E01000012,15,162
E01000013,23,295
E01000014,19,109
E01000015,21,172
E01000016,16,139
E01000017,21,103
E01000018,23,121
E01000019,20,95
E01000020,20,186
E01000021,37,189
E01000022,23,101
E01000023,16,159
E01000024,14,78
E01000025,17,98
E01000027,28,146
E01000028,18,114
E01000029,36,102
E01000030,39,287
E01000031,31,128
E01000032,24,202
E01000033,13,101
E01000034,18,104
E01000035,36,230
E01000036,15,107
E01000037,17,106
E01000038,21,68
E01000039,13,63
E01000040,13,140
E01000041,10,78
E01000042,25,161
E01000043,18,108
E01000044,15,119
E01000045,25,235
E01000046,21,105
E01000048,14,123
E01000049,26,221
E01000050,17,160
E01000051,12,114
E01000052,24,181
E01000053,15,176
E01000054,17,93
E01000055,9,110
E01000056,14,182
E01000057,13,123
E01000058,9,103
E01000059,23,122
E01000060,35,270
E01000061,11,228
E01000062,32,117
E01000063,22,111
E01000064,43,189
E01000065,25,135
E01000066,27,129
E01000067,21,105
E01000068,25,146
E01000069,22,91
E01000070,33,218
E01000071,21,148
E01000072,12,179
E01000073,18,80
E01000074,13,66
E01000075,26,199
E01000076,13,109
E01000077,15,179
E01000078,15,135
E01000079,6,92
E01000080,14,125
E01000081,16,101
E01000082,28,166
E01000083,9,91
E01000084,10,143
E01000085,16,150
E01000086,10,103
E01000087,18,150
E01000088,17,155
E01000089,8,68
E01000090,29,182
E01000091,16,125
E01000092,53,301
E01000093,29,162
E01000094,10,94
E01000095,41,504
E01000096,32,210
E01000097,35,130
E01000098,27,137
E01000099,31,155
E01000100,15,97
E01000101,22,114
E01000102,20,100
E01000103,18,116
E01000104,25,200
E01000105,21,246
E01000106,46,234
E01000107,16,54
E01000108,15,110
E01000109,15,124
E01000110,18,73
E01000111,30,138
E01000112,26,154
E01000113,36,159
E01000114,31,216
E01000115,21,69
E01000116,32,97
E01000117,26,100
E01000118,23,82
E01000119,27,80
E01000120,14,74
E01000121,10,49
E01000122,22,66
E01000123,31,81
E01000124,22,217
E01000125,15,216
E01000126,11,92
E01000127,5,72
E01000128,17,96
E01000129,19,260
E01000130,8,75
E01000131,11,80
E01000132,11,82
E01000133,6,81
E01000134,8,43
E01000135,39,101
E01000136,31,103
E01000137,14,75
E01000138,47,113
E01000139,37,146
E01000140,32,97
E01000141,54,521
E01000142,47,126
E01000143,33,163
E01000144,28,161
E01000145,28,71
E01000146,35,345
E01000147,16,51
E01000148,14,124
E01000150,16,217
E01000151,13,154
E01000152,10,103
E01000153,17,99
E01000154,17,72
E01000155,20,94
E01000156,35,128
E01000157,14,60
E01000158,34,113
E01000159,43,133
E01000160,34,173
E01000161,27,120
E01000162,24,106
E01000163,16,92
E01000164,31,315
E01000165,10,47
E01000166,22,64
E01000167,12,62
E01000168,34,78
E01000169,19,72
E01000170,22,110
E01000171,23,197
E01000172,15,69
E01000173,17,60
E01000174,18,121
E01000175,20,73
E01000176,14,75
E01000177,20,96
E01000178,20,105
E01000179,15,82
E01000180,16,62
E01000181,23,139
E01000182,25,136
E01000183,15,66
E01000184,7,142
E01000185,10,94
E01000186,8,46
E01000187,13,67
E01000188,26,125
E01000189,23,162
E01000190,19,57
E01000191,10,44
E01000192,25,231
E01000193,28,392
E01000194,34,165
E01000195,13,169
E01000196,19,147
E01000197,21,83
E01000198,27,89
E01000199,24,77
E01000200,18,64
E01000201,36,111
E01000202,10,43
E01000203,21,106
E01000204,20,83
E01000205,28,109
E01000206,34,215
E01000207,22,117
E01000208,28,97
E01000209,30,99
E01000210,18,94
E01000211,42,250
E01000212,30,78
E01000213,21,86
E01000214,18,107
E01000215,30,112
E01000216,32,74
E01000217,20,57
E01000218,25,90
E01000219,21,84
E01000220,26,98
E01000221,31,400
E01000222,58,111
E01000223,39,220
E01000224,41,77
E01000225,25,53
E01000226,14,78
E01000227,34,74
E01000228,28,89
E01000229,20,67
E01000230,18,52
E01000231,20,159
E01000232,24,90
E01000233,27,110
E01000234,10,62
E01000235,13,110
E01000236,29,90
E01000237,29,177
E01000238,20,80
E01000239,21,130
E01000240,37,113
E01000241,24,104
E01000242,22,98
E01000243,36,165
E01000244,20,125
E01000245,27,212
E01000246,21,64
E01000247,31,113
E01000248,21,154
E01000249,27,83
E01000250,31,326
E01000251,32,136
E01000252,10,103
E01000253,33,126
E01000254,25,87
E01000255,21,97
E01000256,35,91
E01000257,24,209
E01000258,26,157
E01000259,44,180
E01000260,46,253
E01000261,21,73
E01000262,20,94
E01000263,15,41
E01000264,39,234
E01000265,19,89
E01000266,19,59
E01000267,20,51
E01000268,27,185
E01000269,16,76
E01000270,20,59
E01000271,26,83
E01000272,25,55
E01000273,36,108
E01000274,30,140
E01000275,14,41
E01000276,20,40
E01000277,18,55
E01000278,28,53
E01000279,25,81
E01000280,16,36
E01000281,20,213
E01000282,26,69
E01000283,20,44
E01000284,14,85
E01000285,11,39
E01000286,14,56
E01000287,24,83
E01000288,25,86
E01000289,37,174
E01000290,26,75
E01000291,29,125
E01000292,21,127
E01000293,22,105
E01000294,18,139
E01000295,19,65
E01000296,23,157
E01000297,10,64
E01000298,26,159
E01000299,19,285
E01000300,15,52
E01000301,19,56
E01000302,24,115
E01000303,32,66
E01000304,17,50
E01000305,31,162
E01000306,11,77
E01000307,24,615
E01000308,12,105
E01000309,18,82
E01000310,46,224
E01000311,39,97
E01000312,9,89
E01000313,20,138
E01000314,20,208
E01000315,26,132
E01000316,26,444
E01000317,21,77
E01000318,25,98
E01000319,18,82
E01000320,12,64
E01000321,26,138
E01000322,36,141
E01000323,35,260
E01000324,28,97
E01000325,10,44
E01000326,12,60
E01000327,6,26
E01000328,9,53
E01000329,2,62
E01000330,9,86
E01000331,12,68
E01000332,8,89
E01000333,6,133
E01000334,5,34
E01000335,30,198
E01000336,16,150
E01000337,7,87
E01000338,6,82
E01000339,8,41
E01000340,9,59
E01000341,3,25
E01000342,5,31
E01000343,5,63
E01000344,6,51
E01000345,2,15
E01000346,14,40
E01000347,7,47
E01000348,8,18
E01000349,10,44
E01000350,9,45
E01000351,8,34
E01000352,7,135
E01000353,4,22
E01000354,1,41
E01000355,8,52
E01000356,3,58
E01000357,8,29
E01000358,5,68
E01000359,5,41
E01000360,19,483
E01000361,3,35
E01000362,7,431
E01000363,6,37
E01000364,15,41
E01000365,3,74
E01000366,4,52
E01000367,6,91
E01000368,4,62
E01000369,7,33
E01000370,7,43
E01000371,7,43
E01000372,5,74
E01000373,12,95
E01000374,8,92
E01000375,1,61
E01000376,12,70
E01000377,8,44
E01000378,28,237
E01000379,2,42
E01000380,10,75
E01000381,14,68
E01000382,6,24
E01000383,13,52
E01000384,9,42
E01000385,18,132
E01000386,17,144
E01000387,6,30
E01000388,4,62
E01000389,6,120
E01000390,21,63
E01000391,6,42
E01000392,4,200
E01000393,9,72
E01000394,6,54
E01000395,10,66
E01000396,6,34
E01000398,7,35
E01000399,7,72
E01000400,13,55
E01000401,11,100
