Area,Economic Activity;Economically active: Total;2011,Economic Activity;Economically inactive: Total;2011,Economic Activity;Economically active: Employee;2011,Economic Activity;Economically active: Self-employed;2011,Economic Activity;Economically active: Unemployed;2011,Economic Activity;Economically active: Full-time student;2011,Economic Activity;Employment Rate;2011,Economic Activity;Unemployment Rate;2011
E01000907,719,343,482,140,71,26,58.6,9.9
E01000908,833,351,537,201,67,28,62.3,8
E01000909,886,367,557,266,43,20,65.7,4.9
E01000912,848,387,548,178,75,47,58.8,8.8
E01000913,963,323,588,335,20,20,71.8,2.1
E01000893,936,258,563,322,34,17,74.1,3.6
E01000894,799,235,508,245,29,17,72.8,3.6
E01000895,925,276,616,256,28,25,72.6,3
E01000896,951,304,633,265,37,16,71.6,3.9
E01000899,848,353,513,302,21,12,67.9,2.5
E01000910,853,280,541,249,33,30,69.7,3.9
E01000911,814,319,541,201,52,20,65.5,6.4
E01000921,1326,336,953,261,63,49,73,4.8
E01000923,863,316,570,197,61,35,65.1,7.1
E01000928,900,364,616,212,51,21,65.5,5.7
E01000878,739,550,459,154,33,93,47.6,4.5
E01000879,795,324,514,180,36,65,62,4.5
E01000880,819,285,565,214,27,13,70.6,3.3
E01000884,743,313,454,241,25,23,65.8,3.4
E01000885,688,330,418,232,21,17,63.9,3.1
E01000871,933,334,598,239,61,35,66.1,6.5
E01000872,1270,353,928,220,70,52,70.7,5.5
E01000873,1053,264,788,206,44,15,75.5,4.2
E01000874,984,261,703,213,35,33,73.6,3.6
E01000877,1033,263,756,198,54,25,73.6,5.2
E01000886,841,271,544,236,37,24,70.1,4.4
E01000887,944,246,674,188,55,27,72.4,5.8
E01000888,877,327,585,197,58,37,65,6.6
E01000892,998,374,691,227,50,30,66.9,5
E01000903,832,316,523,218,57,34,64.5,6.9
E01000889,764,452,537,87,90,50,51.3,11.8
E01000890,679,507,455,86,90,48,45.6,13.3
E01000891,638,500,431,77,88,42,44.6,13.8
E01000901,806,612,536,94,92,84,44.4,11.4
E01000922,820,440,563,152,49,56,56.7,6
E01000927,1055,364,716,254,48,37,68.4,4.5
E01000881,842,320,571,196,39,36,66,4.6
E01000882,980,218,690,243,25,22,77.9,2.6
E01000883,761,304,563,143,38,17,66.3,5
E01000897,901,260,614,242,30,15,73.7,3.3
E01000898,1039,338,804,150,52,33,69.3,5
E01000866,1140,466,753,246,81,60,62.2,7.1
E01000870,955,402,623,215,71,46,61.8,7.4
E01000924,1050,332,716,248,52,34,69.8,5
E01000925,679,405,441,116,81,41,51.4,11.9
E01000926,1152,338,885,180,45,42,71.5,3.9
E01000969,1430,290,1087,260,56,27,78.3,3.9
E01000970,1140,191,898,183,39,20,81.2,3.4
E01000971,945,232,690,187,38,30,74.5,4
E01000972,1096,515,779,169,90,58,58.8,8.2
E01000973,1247,366,940,172,88,47,68.9,7.1
E01000842,887,288,597,233,35,22,70.6,3.9
E01000844,1125,283,798,270,35,22,75.9,3.1
E01000848,1050,223,741,254,41,14,78.2,3.9
E01000849,1020,254,748,205,33,34,74.8,3.2
E01000900,985,415,697,165,87,36,61.6,8.8
E01000902,630,396,436,89,67,38,51.2,10.6
E01000904,1139,501,785,173,100,81,58.4,8.8
E01000905,804,588,543,103,96,62,46.4,11.9
E01000906,989,257,701,218,39,31,73.8,3.9
E01000875,1047,347,791,168,60,28,68.8,5.7
E01000876,942,417,666,138,91,47,59.2,9.7
E01000931,1022,472,745,120,111,46,57.9,10.9
E01000932,1282,323,1006,186,54,36,74.3,4.2
E01000974,1033,381,760,139,79,55,63.6,7.6
E01000843,983,316,661,230,67,25,68.6,6.8
E01000845,887,279,622,202,33,30,70.7,3.7
E01000846,655,372,423,133,62,37,54.1,9.5
E01000847,785,386,507,189,68,21,59.4,8.7
E01000864,946,330,631,214,55,46,66.2,5.8
E01000865,713,617,382,169,34,128,41.4,4.8
E01000867,772,453,521,118,54,79,52.2,7
E01000868,700,314,476,104,90,30,57.2,12.9
E01000869,1254,479,818,277,77,82,63.2,6.1
E01000962,1131,199,855,199,50,27,79.2,4.4
E01000964,896,324,658,166,51,21,67.5,5.7
E01000965,964,279,771,133,29,31,72.7,3
E01000966,1019,218,750,225,20,24,78.8,2
E01000968,1013,262,813,141,39,20,74.8,3.8
E01000960,1007,373,707,193,67,40,65.2,6.7
E01000961,707,416,477,116,72,42,52.8,10.2
E01000963,896,520,669,168,38,21,59.1,4.2
E01000967,716,315,499,174,25,18,65.3,3.5
E01000857,801,321,524,239,24,14,68,3
E01000858,904,553,608,158,88,50,52.6,9.7
E01000859,1034,255,627,343,41,23,75.3,4
E01000860,687,352,450,185,31,21,61.1,4.5
E01000862,1055,305,663,344,31,17,74,2.9
E01000856,839,407,508,187,100,44,55.8,11.9
E01000861,914,425,597,194,68,55,59.1,7.4
E01000957,927,452,654,137,82,54,57.4,8.8
E01000958,1105,715,750,145,93,117,49.2,8.4
E01000959,685,567,477,62,64,82,43.1,9.3
E01000929,738,450,474,131,90,43,50.9,12.2
E01000930,912,503,635,138,85,54,54.6,9.3
E01000933,1119,295,801,203,73,42,71,6.5
E01000934,755,423,519,98,85,53,52.4,11.3
E01000935,676,324,489,79,70,38,56.8,10.4
E01000863,984,306,636,209,64,75,65.5,6.5
E01000946,798,401,571,155,38,34,60.6,4.8
E01000947,1131,584,752,180,89,110,54.3,7.9
E01000948,955,425,661,212,44,38,63.3,4.6
E01000952,750,568,493,99,76,82,44.9,10.1
E01000953,672,584,478,57,61,76,42.6,9.1
E01000954,626,471,429,64,84,49,44.9,13.4
E01000955,607,534,417,59,63,68,41.7,10.4
E01000956,680,470,449,81,74,76,46.1,10.9
E01000944,662,890,436,76,78,72,33,11.8
E01000945,763,746,460,93,52,158,36.6,6.8
E01000949,827,374,667,59,70,31,60.4,8.5
E01000950,583,458,362,81,78,62,42.6,13.4
E01000951,593,513,381,66,80,66,40.4,13.5
E01000936,715,754,402,125,73,115,35.9,10.2
E01000938,904,450,562,112,95,135,49.8,10.5
E01000939,475,422,299,48,65,63,38.7,13.7
E01000940,467,408,270,69,57,71,38.7,12.2
E01000853,733,498,490,110,98,35,48.7,13.4
E01000937,600,722,333,83,44,140,31.5,7.3
E01000941,553,380,361,87,67,38,48,12.1
E01000942,793,1164,421,110,34,228,27.1,4.3
E01000943,554,369,347,105,42,60,49,7.6
E01000850,989,559,719,160,31,79,56.8,3.1
E01000851,1119,1087,663,215,44,197,39.8,3.9
E01000852,574,901,310,74,24,166,26,4.2
E01000854,750,809,454,128,49,119,37.3,6.5
E01000915,770,388,530,126,79,35,56.6,10.3
E01000916,1041,451,751,191,59,40,63.1,5.7
E01000917,864,551,567,133,121,43,49.5,14
E01000920,1169,450,742,310,67,50,65,5.7
E01000855,1180,443,879,187,53,61,65.7,4.5
E01000914,1015,509,652,265,51,47,60.2,5
E01000918,1139,661,718,227,86,108,52.5,7.6
E01000919,1080,717,732,200,51,97,51.9,4.7
E01000001,964,257,674,240,34,16,74.9,3.5
E01000002,926,270,652,243,16,15,74.8,1.7
E01000003,822,280,551,189,39,43,67.2,4.7
E01000005,530,243,404,51,46,29,58.9,8.7
E01032739,843,128,673,129,23,18,82.6,2.7
E01032740,887,157,651,184,29,23,80,3.3
E01001808,719,410,476,157,58,28,56.1,8.1
E01001809,761,444,513,147,74,27,54.8,9.7
E01001814,775,338,518,146,68,43,59.7,8.8
E01001823,686,401,456,104,96,30,51.5,14
E01001825,521,374,363,98,49,11,51.5,9.4
E01001714,744,405,533,88,77,46,54,10.3
E01001811,666,414,456,72,90,48,48.9,13.5
E01001813,579,364,362,74,74,69,46.2,12.8
E01033701,808,620,527,89,130,62,43.1,16.1
E01001799,641,321,458,111,52,20,59.1,8.1
E01001802,544,311,383,79,50,32,54,9.2
E01001804,585,368,404,128,39,14,55.8,6.7
E01001807,898,377,574,183,106,35,59.4,11.8
E01001812,704,434,485,112,77,30,52.5,10.9
E01001725,735,439,514,115,82,24,53.6,11.2
E01001726,620,306,417,75,87,41,53.1,14
E01001800,626,407,448,71,70,37,50.2,11.2
E01001824,566,366,353,105,82,26,49.1,14.5
E01001826,676,406,477,101,72,26,53.4,10.7
E01001723,1094,379,748,221,80,45,65.8,7.3
E01001724,1468,349,993,307,89,79,71.5,6.1
E01001727,848,394,583,177,51,37,61.2,6
E01001768,1132,361,779,220,84,49,66.9,7.4
E01001769,1015,295,672,190,102,51,65.8,10
E01001715,1019,173,762,147,60,50,76.3,5.9
E01001716,809,281,583,131,55,40,65.5,6.8
E01001717,639,293,484,81,47,27,60.6,7.4
E01001718,1341,256,989,238,45,69,76.8,3.4
