Output_Area,Adults in Employment;No adults in employment in household: With dependent children;2011,Adults in Employment;% of households with no adults in employment: With dependent children;2011,Lone Parents;All lone parent housholds with dependent children;2011,Lone Parents;Lone parents not in employment;2011,Lone Parents;Lone parent not in employment %;2011
E01000907,65,10,92,51,55.4
E01000908,41,5,70,34,48.6
E01000909,16,2,22,13,59.1
E01000912,49,7,63,30,47.6
E01000913,6,1,16,2,12.5
E01000893,12,2,22,8,36.4
E01000894,9,2,12,3,25
E01000895,9,1,28,7,25
E01000896,16,2,11,4,36.4
E01000899,10,1,18,7,38.9
E01000910,11,2,12,3,25
E01000911,37,6,52,22,42.3
E01000921,37,4,53,35,66
E01000923,18,3,49,17,34.7
E01000928,40,6,56,29,51.8
E01000878,16,3,19,10,52.6
E01000879,10,2,17,5,29.4
E01000880,11,2,20,7,35
E01000884,16,3,21,8,38.1
E01000885,12,2,22,8,36.4
E01000871,21,3,22,13,59.1
E01000872,36,4,45,22,48.9
E01000873,16,2,43,12,27.9
E01000874,8,1,20,5,25
E01000877,11,2,28,7,25
E01000886,30,5,45,23,51.1
E01000887,24,4,33,19,57.6
E01000888,22,3,36,16,44.4
E01000892,44,5,57,34,59.6
E01000903,16,2,26,13,50
E01000889,69,11,87,48,55.2
E01000890,70,9,89,55,61.8
E01000891,81,12,102,63,61.8
E01000901,100,14,116,67,57.8
E01000922,38,6,49,33,67.3
E01000927,37,5,44,30,68.2
E01000881,16,3,18,10,55.6
E01000882,4,1,15,4,26.7
E01000883,16,3,15,9,60
E01000897,5,1,7,3,42.9
E01000898,22,3,29,11,37.9
E01000866,45,5,64,30,46.9
E01000870,41,5,63,34,54
E01000924,21,3,36,14,38.9
E01000925,69,11,83,50,60.2
E01000926,37,5,55,25,45.5
E01000969,17,2,32,10,31.2
E01000970,8,1,17,6,35.3
E01000971,11,2,19,8,42.1
E01000972,72,8,88,50,56.8
E01000973,42,5,58,29,50
E01000842,8,1,18,5,27.8
E01000844,11,1,17,7,41.2
E01000848,4,1,8,0,0
E01000849,10,1,26,10,38.5
E01000900,50,7,67,41,61.2
E01000902,62,11,82,46,56.1
E01000904,78,9,86,43,50
E01000905,108,13,120,82,68.3
E01000906,14,2,21,11,52.4
E01000875,35,4,65,27,41.5
E01000876,59,7,67,45,67.2
