LSOAs,Ethnic Group;White;2011,Ethnic Group;Mixed/multiple ethnic groups;2011,Ethnic Group;Asian/Asian British;2011,Ethnic Group;Black/African/Caribbean/Black British;2011,Ethnic Group;Other ethnic group;2011,Ethnic Group;BAME;2011,Ethnic Group;White (%);2011,Ethnic Group;Mixed/multiple ethnic groups (%);2011,Ethnic Group;Asian/Asian British (%);2011,Ethnic Group;Black/African/Caribbean/Black British (%);2011,Ethnic Group;Other ethnic group (%);2011,Ethnic Group;BAME (%);2011
E01000907,1051,104,122,113,40,379,73.5,7.3,8.5,7.9,2.8,26.5
E01000908,1145,137,98,127,74,436,72.4,8.7,6.2,8,4.7,27.6
E01000909,1357,89,75,46,47,257,84.1,5.5,4.6,2.9,2.9,15.9
E01000912,1229,89,81,146,44,360,77.3,5.6,5.1,9.2,2.8,22.7
E01000913,1508,87,81,22,12,202,88.2,5.1,4.7,1.3,0.7,11.8
E01000893,1380,71,75,16,24,186,88.1,4.5,4.8,1,1.5,11.9
E01000894,1170,48,116,21,34,219,84.2,3.5,8.4,1.5,2.4,15.8
E01000895,1301,114,130,50,35,329,79.8,7,8,3.1,2.1,20.2
E01000896,1435,78,113,38,28,257,84.8,4.6,6.7,2.2,1.7,15.2
E01000899,1452,65,99,23,28,215,87.1,3.9,5.9,1.4,1.7,12.9
E01000910,1239,103,62,43,25,233,84.2,7,4.2,2.9,1.7,15.8
E01000911,1216,82,105,109,47,343,78,5.3,6.7,7,3,22
E01000921,1502,153,154,119,38,464,76.4,7.8,7.8,6.1,1.9,23.6
E01000923,1182,94,107,81,30,312,79.1,6.3,7.2,5.4,2,20.9
E01000928,1253,104,159,112,53,428,74.5,6.2,9.5,6.7,3.2,25.5
E01000878,1112,107,275,67,63,512,68.5,6.6,16.9,4.1,3.9,31.5
E01000879,1172,70,129,33,54,286,80.4,4.8,8.8,2.3,3.7,19.6
E01000880,1214,99,192,35,62,388,75.8,6.2,12,2.2,3.9,24.2
E01000884,1173,85,139,32,40,296,79.9,5.8,9.5,2.2,2.7,20.1
E01000885,1124,106,158,20,76,360,75.7,7.1,10.6,1.3,5.1,24.3
E01000871,1169,116,204,79,96,495,70.3,7,12.3,4.7,5.8,29.7
E01000872,1273,134,275,141,79,629,66.9,7,14.5,7.4,4.2,33.1
E01000873,1332,65,112,75,55,307,81.3,4,6.8,4.6,3.4,18.7
E01000874,1178,73,184,36,88,381,75.6,4.7,11.8,2.3,5.6,24.4
E01000877,1245,83,135,51,60,329,79.1,5.3,8.6,3.2,3.8,20.9
E01000886,1197,104,80,37,27,248,82.8,7.2,5.5,2.6,1.9,17.2
E01000887,1146,92,144,40,64,340,77.1,6.2,9.7,2.7,4.3,22.9
E01000888,1245,106,139,78,37,360,77.6,6.6,8.7,4.9,2.3,22.4
E01000892,1371,109,208,107,48,472,74.4,5.9,11.3,5.8,2.6,25.6
E01000903,1067,74,190,73,35,372,74.1,5.1,13.2,5.1,2.4,25.9
E01000889,1017,140,247,195,71,653,60.9,8.4,14.8,11.7,4.3,39.1
E01000890,1000,90,228,240,82,640,61,5.5,13.9,14.6,5,39
E01000891,893,97,278,247,60,682,56.7,6.2,17.7,15.7,3.8,43.3
E01000901,985,150,467,273,102,992,49.8,7.6,23.6,13.8,5.2,50.2
E01000922,1118,117,110,167,35,429,72.3,7.6,7.1,10.8,2.3,27.7
E01000927,1335,113,150,98,42,403,76.8,6.5,8.6,5.6,2.4,23.2
E01000881,1025,121,247,78,39,485,67.9,8,16.4,5.2,2.6,32.1
E01000882,1224,73,150,21,45,289,80.9,4.8,9.9,1.4,3,19.1
E01000883,850,69,320,31,56,476,64.1,5.2,24.1,2.3,4.2,35.9
E01000897,1269,98,175,14,41,328,79.5,6.1,11,0.9,2.6,20.5
E01000898,1012,151,337,153,76,717,58.5,8.7,19.5,8.8,4.4,41.5
E01000866,1433,128,193,185,91,597,70.6,6.3,9.5,9.1,4.5,29.4
E01000870,1267,99,128,174,25,426,74.8,5.8,7.6,10.3,1.5,25.2
E01000924,1289,93,135,87,33,348,78.7,5.7,8.2,5.3,2,21.3
E01000925,865,74,293,297,34,698,55.3,4.7,18.7,19,2.2,44.7
E01000926,1062,80,365,136,148,729,59.3,4.5,20.4,7.6,8.3,40.7
E01000969,1513,114,279,58,68,519,74.5,5.6,13.7,2.9,3.3,25.5
E01000970,1175,63,119,45,42,269,81.4,4.4,8.2,3.1,2.9,18.6
E01000971,1196,73,146,28,35,282,80.9,4.9,9.9,1.9,2.4,19.1
E01000972,1144,127,317,328,93,865,56.9,6.3,15.8,16.3,4.6,43.1
E01000973,1192,118,311,199,65,693,63.2,6.3,16.5,10.6,3.4,36.8
