LSOAs,House_median_Prices
E01000907,415000
E01000908,282500
E01000909,435000
E01000912,500000
E01000913,1000000
E01000893,740000
E01000894,975000
E01000895,760000
E01000896,922500
E01000899,1526896
E01000910,509000
E01000911,425000
E01000921,342495
E01000923,480000
E01000928,346500
E01000878,725000
E01000879,812500
E01000880,930500
E01000884,1030000
E01000885,1572500
E01000871,650000
E01000872,342475
E01000873,560000
E01000874,615000
E01000877,845000
E01000886,442500
E01000887,419000
E01000888,495000
E01000892,525000
E01000903,560000
E01000889,275000
E01000890,221000
E01000891,275750
E01000901,275000
E01000922,387500
E01000927,537550
E01000881,546436
E01000882,837500
E01000883,620000
E01000897,733750
E01000898,765000
E01000866,429250
E01000870,375000
E01000924,460000
E01000925,350000
E01000926,730000
E01000969,490000
E01000970,496000
E01000971,507500
E01000972,485000
E01000973,380950
E01000842,725000
E01000844,650000
E01000848,765000
E01000849,525000
E01000900,370000
E01000902,275000
E01000904,325000
E01000905,351500
E01000906,440000
E01000875,335750
E01000876,330000
E01000931,320000
E01000932,388000
E01000974,340000
E01000843,675000
E01000845,525000
E01000846,1077500
E01000847,530000
E01000864,510000
E01000865,435000
E01000867,374975
E01000868,267500
E01000869,406000
E01000962,497475
E01000964,560000
E01000965,454750
E01000966,677500
E01000968,437000
E01000960,397500
E01000961,491000
E01000963,645000
E01000967,865000
E01000857,690000
E01000858,440000
E01000859,895000
E01000860,590000
E01000862,632500
E01000856,320000
E01000861,390000
E01000957,320000
E01000958,343000
E01000959,306000
E01000929,392500
E01000930,320000
E01000933,475000
E01000934,287000
E01000935,505000
E01000863,487500
E01000946,560775
E01000947,400000
E01000948,690000
E01000952,350600
E01000953,370000
E01000954,371000
E01000955,317500
E01000956,430000
E01000944,355000
E01000945,340000
E01000949,356500
E01000950,220000
E01000951,289000
E01000936,308750
E01000938,385000
E01000939,385000
E01000940,390000
E01000853,465000
E01000937,300000
E01000941,330000
E01000942,332500
E01000943,370000
E01000850,885000
E01000851,469000
E01000852,330000
E01000854,580000
E01000915,480000
E01000916,522500
E01000917,320000
E01000920,637500
E01000855,225000
E01000914,468000
E01000918,650000
E01000919,635175
E01000001,505000
E01000002,525000
E01000003,350000
E01000005,300000
E01032739,447500
E01032740,420000
E01001808,307000
E01001809,450000
E01001814,245000
E01001823,212498
E01001825,207500
E01001714,279500
E01001811,320000
E01001813,160000
E01033701,192500
E01001799,225000
E01001802,226000
E01001804,390000
E01001807,343000
E01001812,251000
E01001725,410000
E01001726,175000
E01001800,232500
E01001824,240500
E01001826,335000
E01001723,337500
E01001724,260000
E01001727,337500
E01001768,355000
E01001769,278000
E01001715,330000
E01001716,240000
E01001717,376000
E01001718,325000
E01001719,230000
E01001720,340000
E01001742,353750
E01001801,210250
E01001803,367500
E01001806,249950
E01001741,570133
E01001805,270105
E01001829,475000
E01001831,357500
E01001832,485000
E01001764,246100
E01001765,223000
E01001767,330000
E01001770,247750
E01033703,291500
E01033713,245000
E01001792,400000
E01001793,425000
E01001794,330000
E01001795,187500
E01001796,342000
E01001736,359498
E01001737,360000
E01001738,270000
E01001739,350000
E01001786,166000
E01001787,236000
E01001788,162500
E01001790,142500
E01001740,215000
E01001747,283000
E01001830,368495
E01001833,347500
E01001834,295500
E01001835,328500
E01001733,410000
E01001785,385000
E01001789,360000
E01001791,380750
E01001745,239500
E01001746,285000
E01001757,154000
E01001758,220000
E01001759,275000
E01001761,280000
E01001731,190000
E01001734,287000
E01001760,250000
E01001762,325000
E01001846,279000
E01001847,221500
E01001848,305000
E01001849,222000
E01001729,145000
E01001730,.
E01001732,145614
E01001735,275000
E01001838,167500
E01001850,210000
E01001748,262000
E01001749,322000
E01001763,425000
E01001816,671000
E01001819,475500
E01001744,345000
E01001750,320000
E01001751,590000
E01001756,298500
E01033698,250000
E01033699,386250
E01033700,315000
E01033707,295000
E01001836,365000
E01001840,275000
E01001841,472500
E01001844,436750
E01001845,250000
E01001837,305750
E01001839,325000
E01001842,324000
E01001843,370000
E01033704,329000
E01033712,304998
E01001772,220000
E01001774,265000
E01001775,280000
E01001815,345000
E01001820,250000
E01001821,275000
E01001752,470000
E01001753,312500
E01001754,312550
E01001755,250000
E01001773,280000
E01001776,332500
E01001779,330000
E01001781,250000
E01001782,425000
E01001783,195000
E01001777,295000
E01001780,275000
E01001784,253500
E01033706,425000
E01033708,465000
E01033709,285000
E01033711,347500
E01001798,192500
E01001828,175000
E01033702,341500
E01033705,285000
E01033710,220000
E01001722,274850
E01001728,182500
E01001822,270000
E01001827,167500
E01001874,385000
E01001875,265000
E01001876,260000
E01001877,190000
E01001878,290000
E01001955,445500
E01001957,190000
E01001958,210000
E01001961,192000
E01001954,499999
E01001956,461500
E01001959,360000
E01001960,355000
E01001943,557500
E01001944,249000
E01001945,337500
E01001946,407500
E01001862,340000
E01001940,298225
E01001941,315000
E01001942,321250
E01001858,250000
E01001860,257500
E01001861,321300
E01001863,496625
E01001864,609000
E01001852,375000
E01001853,357475
E01001854,295000
E01001857,204000
E01001859,362500
E01001865,447500
E01001927,1250000
E01001930,400000
E01001895,470000
E01001896,405000
E01001897,862500
E01001929,650000
E01001851,800000
E01001855,427500
E01001856,1512500
E01001869,1500000
E01001873,362500
E01001928,864000
E01001931,290000
E01001932,486000
E01001933,415000
E01001866,630000
E01001867,330000
E01001868,306000
E01001870,379250
E01001871,517250
E01001872,395000
E01001893,320000
E01001894,485000
E01001898,466250
E01001899,360000
E01001900,582850
E01001889,457000
E01001910,322000
E01001913,472500
E01001914,345000
E01001885,200000
E01001908,410000
E01001909,385000
E01001911,352500
E01001912,310485
E01001886,675000
E01001887,380000
E01001890,321000
E01001892,420000
E01001880,399950
E01001881,647250
E01001882,555000
E01001883,455000
E01001884,412070
E01001888,637500
E01001891,390000
E01001917,520000
E01001918,495000
E01001919,760000
E01001879,495750
E01001901,873501
E01001902,472500
E01001903,427500
E01001920,345000
E01001921,902500
E01001922,1250876
E01001923,622500
E01001924,970000
E01001947,325000
E01001948,506250
E01001949,595000
E01001950,730000
E01001951,415000
E01001953,552500
E01001904,565000
E01001905,528000
E01001906,475000
E01001907,995000
E01001935,456500
E01001939,460000
E01032788,480000
E01032789,407450
E01032790,650000
E01001915,618000
E01001916,760000
E01001926,1240000
E01001952,437000
E01001925,1580000
E01001934,699950
E01001937,810000
E01001938,498750
E01001969,250000
E01001971,360000
E01001974,300000
E01001975,212500
E01002036,181000
E01002037,165500
E01002039,110000
E01002040,225000
E01001962,399750
E01001970,188500
E01001972,360000
E01001973,460000
E01002090,250000
E01002093,186250
E01002096,228000
E01002097,215500
E01002091,219000
E01002092,136000
E01002094,216000
E01002095,212500
E01002098,284000
E01002101,250000
E01002102,345000
E01002105,317500
E01002099,162500
E01002100,212000
E01002103,280000
E01002104,270000
E01001963,692500
E01001964,315000
E01001965,557500
E01001966,677500
E01002027,285000
E01002028,275000
E01002032,222500
E01002033,272500
E01001976,191000
E01001977,187500
E01001978,150000
E01001979,160000
E01002074,152250
E01002077,206000
E01002079,223000
E01002081,193975
E01002082,.
E01002086,288500
E01002088,310000
E01002089,.
E01001967,626250
E01001968,465000
E01001996,269000
E01001997,380000
E01002075,193000
E01002076,210000
E01002078,147000
E01002080,223000
E01002026,226000
E01002029,198000
E01002030,361250
E01002031,299000
E01001991,392000
E01001992,942500
E01001993,1079500
E01001995,408000
E01001980,242500
E01001981,220971
E01001982,218250
E01001983,250000
E01002083,310000
E01002084,241500
E01002085,285000
E01002087,325000
E01002014,332500
E01002015,282500
E01002018,338000
E01033085,215000
E01033086,228320
E01002020,325000
E01002022,312500
E01002023,485000
E01002025,1080000
E01002013,397475
E01002019,600000
E01002021,825000
E01002024,630000
E01001998,283500
E01001999,287500
E01002003,254188
E01002004,381000
E01002067,245000
E01002069,231000
E01002070,215000
E01002073,217000
E01002066,154000
E01002068,180000
E01002071,175000
E01002072,128500
E01002043,245000
E01002045,245000
E01002046,230000
E01002049,238500
