LSOAs,Mean_year_household_income,Median_year_household_income
E01000907,39985,30223
E01000908,42394,32049
E01000909,77370,58469
E01000912,41737,31551
E01000913,96649,73024
E01000893,84878,64138
E01000894,96271,72739
E01000895,70925,53603
E01000896,93108,70351
E01000899,100810,76166
E01000910,85968,64961
E01000911,49166,37176
E01000921,47076,35597
E01000923,59956,45322
E01000928,47154,35656
E01000878,74432,56251
E01000879,85643,64715
E01000880,92479,69876
E01000884,94537,71430
E01000885,103688,78339
E01000871,66218,50050
E01000872,42585,32194
E01000873,71457,54005
E01000874,76041,57465
E01000877,72076,54472
E01000886,66553,50302
E01000887,59084,44663
E01000888,57570,43520
E01000892,57900,43769
E01000903,58061,43891
E01000889,33676,25438
E01000890,26548,20034
E01000891,26446,19956
E01000901,30659,23151
E01000922,40839,30870
E01000927,57153,43205
E01000881,64566,48802
E01000882,87519,66131
E01000883,67080,50701
E01000897,96505,72916
E01000898,58510,44230
E01000866,44223,33436
E01000870,41727,31544
E01000924,53729,40620
E01000925,32909,24857
E01000926,43634,32990
E01000969,72582,54854
E01000970,64716,48915
E01000971,74044,55958
E01000972,39908,30164
E01000973,44466,33620
E01000842,82204,62118
E01000844,80968,61186
E01000848,79743,60261
E01000849,67381,50928
E01000900,41250,31182
E01000902,32532,24571
E01000904,38623,29190
E01000905,27854,21024
E01000906,64618,48841
E01000875,43936,33219
E01000876,37177,28093
E01000931,34059,25729
E01000932,49291,37270
E01000974,39668,29982
E01000843,58871,44503
E01000845,70494,53278
E01000846,45004,34028
E01000847,46667,35289
E01000864,51526,38957
E01000865,63376,47904
E01000867,35460,26792
E01000868,32466,24521
E01000869,45709,34563
E01000962,76688,57954
E01000964,60531,45755
E01000965,58749,44410
E01000966,84620,63943
E01000968,60954,46075
E01000960,54830,41451
E01000961,40199,30385
E01000963,70017,52918
E01000967,80150,60568
E01000857,63234,47797
E01000858,36106,27282
E01000859,80882,61120
E01000860,59261,44797
E01000862,82666,62468
E01000856,35793,27044
E01000861,39869,30135
E01000957,37876,28624
E01000958,35910,27133
E01000959,29599,22347
E01000929,34948,26403
E01000930,31859,24061
E01000933,49301,37278
E01000934,33141,25033
E01000935,33423,25247
E01000863,53986,40815
E01000946,51152,38675
E01000947,39239,29657
E01000948,53897,40748
E01000952,31795,24012
E01000953,30495,23027
E01000954,28568,21566
E01000955,29889,22567
E01000956,33709,25464
E01000944,31300,23637
E01000945,36046,27236
E01000949,38631,29196
E01000950,26736,20176
E01000951,28780,21727
E01000936,37557,28382
E01000938,34786,26281
E01000939,31142,23517
E01000940,37179,28095
E01000853,38170,28846
E01000937,37175,28092
E01000941,30996,23407
E01000942,42365,32028
E01000943,41772,31578
E01000850,58445,44181
E01000851,49285,37265
E01000852,43186,32650
E01000854,38713,29258
E01000915,37749,28527
E01000916,44967,34001
E01000917,33060,24972
E01000920,50104,37883
E01000855,46663,35286
E01000914,50593,38253
E01000918,45820,34647
E01000919,47265,35740
E01000001,74846,58347
E01000002,73325,57159
E01000003,44130,34387
E01000005,30781,24000
E01032739,68022,53017
E01032740,67266,52427
E01001808,45004,36364
E01001809,41919,33867
E01001814,40803,32964
E01001823,40170,32452
E01001825,49614,40095
E01001714,32103,25992
E01001811,26507,21530
E01001813,26073,21184
E01033701,26621,21621
E01001799,51426,41561
E01001802,37280,30119
E01001804,46895,37894
E01001807,39664,32042
E01001812,39107,31591
E01001725,45068,36415
E01001726,31865,25802
E01001800,33116,26799
E01001824,33436,27054
E01001826,35073,28359
E01001723,50735,41002
E01001724,44067,35605
E01001727,51902,41946
E01001768,49415,39934
E01001769,47800,38627
E01001715,54586,44118
E01001716,36977,29877
E01001717,50050,40448
E01001718,63800,51575
E01001719,35310,28548
E01001720,62980,50911
E01001742,43727,35330
E01001801,40916,33056
E01001803,58259,47091
E01001806,45524,36785
E01001741,67264,54378
E01001805,52676,42572
E01001829,71347,57683
E01001831,48529,39216
E01001832,47935,38736
E01001764,37717,30468
E01001765,28077,22782
E01001767,41595,33605
E01001770,31997,25907
E01033703,33368,27000
E01033713,36756,29701
E01001792,40559,32767
E01001793,42613,34429
E01001794,49704,40167
E01001795,45249,36561
E01001796,37092,29969
E01001736,56446,45623
E01001737,63175,51069
E01001738,54143,43760
E01001739,60421,48840
E01001786,29344,23792
E01001787,27439,22273
E01001788,28896,23435
E01001790,28106,22805
E01001740,31293,25346
E01001747,43073,34800
E01001830,35006,28306
E01001833,40747,32918
E01001834,46737,37766
E01001835,57176,46214
E01001733,42268,34150
E01001785,36957,29862
E01001789,43375,35046
E01001791,34921,28238
E01001745,32725,26487
E01001746,31014,25124
E01001757,30539,24745
E01001758,32622,26405
E01001759,37396,30212
E01001761,34661,28031
E01001731,34018,27518
E01001734,37231,30080
E01001760,36317,29351
E01001762,43690,35300
E01001846,32377,26210
E01001847,31644,25625
E01001848,35905,29023
E01001849,35099,28381
E01001729,29303,23760
E01001730,27966,22693
E01001732,28386,23028
E01001735,38346,30975
E01001838,26860,21812
E01001850,27252,22124
E01001748,43470,35122
E01001749,56687,45818
E01001763,43215,34916
E01001816,47390,38295
E01001819,54554,44092
E01001744,40735,32908
E01001750,44880,36264
E01001751,80912,65423
E01001756,55962,45231
E01033698,31649,25630
E01033699,42997,34740
E01033700,47563,38434
E01033707,36485,29485
E01001836,44368,35849
E01001840,32663,26438
E01001841,44879,36262
E01001844,50505,40816
E01001845,31426,25452
E01001837,61976,50099
E01001839,39746,32109
E01001842,34891,28214
E01001843,48926,39538
E01033704,53118,42930
E01033712,37691,30447
E01001772,28755,23322
E01001774,37147,30013
E01001775,29838,24186
E01001815,32286,26138
E01001820,33488,27096
E01001821,30217,24488
E01001752,49006,39603
E01001753,30629,24817
E01001754,36664,29628
E01001755,32702,26469
E01001773,34393,27817
E01001776,29431,23861
E01001779,36204,29262
E01001781,27691,22474
E01001782,49492,39996
E01001783,29561,23965
E01001777,34459,27870
E01001780,34870,28197
E01001784,32734,26494
E01033706,59167,47826
E01033708,67564,54621
E01033709,41339,33398
E01033711,48804,39439
E01001798,30690,24865
