Area,Household Language;Households with at least one person aged 16 or over with English as a main language;2011,Household Language;Households where no people aged 16 or over have English as a main language;2011,Household Language;% of households with at least one person aged 16 or over with English as a main language;2011,Household Language;% of households where no people aged 16 or over have English as a main language;2011
E01000907,555,72,88.5,11.5
E01000908,753,74,91.1,8.9
E01000909,630,31,95.3,4.7
E01000912,646,54,92.3,7.7
E01000913,703,19,97.4,2.6
E01000893,658,57,92,8
E01000894,562,57,90.8,9.2
E01000895,727,114,86.4,13.6
E01000896,683,73,90.3,9.7
E01000899,653,45,93.6,6.4
E01000910,566,22,96.3,3.7
E01000911,601,62,90.6,9.4
E01000921,825,121,87.2,12.8
E01000923,618,38,94.2,5.8
E01000928,611,71,89.6,10.4
E01000878,476,74,86.5,13.5
E01000879,525,77,87.2,12.8
E01000880,505,116,81.3,18.7
E01000884,499,78,86.5,13.5
E01000885,519,73,87.7,12.3
E01000871,553,79,87.5,12.5
E01000872,700,213,76.7,23.3
E01000873,635,75,89.4,10.6
E01000874,605,99,85.9,14.1
E01000877,604,122,83.2,16.8
E01000886,563,43,92.9,7.1
E01000887,616,74,89.3,10.7
E01000888,634,63,91,9
E01000892,724,99,88,12
E01000903,615,71,89.7,10.3
E01000889,573,84,87.2,12.8
E01000890,633,134,82.5,17.5
E01000891,545,127,81.1,18.9
E01000901,576,127,81.9,18.1
E01000922,587,66,89.9,10.1
E01000927,656,78,89.4,10.6
E01000881,516,116,81.6,18.4
E01000882,613,115,84.2,15.8
E01000883,474,164,74.3,25.7
E01000897,624,97,86.5,13.5
E01000898,682,168,80.2,19.8
E01000866,804,122,86.8,13.2
E01000870,705,69,91.1,8.9
E01000924,702,93,88.3,11.7
E01000925,489,140,77.7,22.3
E01000926,567,131,81.2,18.8
E01000969,817,137,85.6,14.4
E01000970,722,109,86.9,13.1
E01000971,576,73,88.8,11.2
E01000972,743,206,78.3,21.7
E01000973,752,142,84.1,15.9
E01000842,640,84,88.4,11.6
E01000844,721,149,82.9,17.1
E01000848,680,125,84.5,15.5
E01000849,748,114,86.8,13.2
E01000900,675,82,89.2,10.8
E01000902,489,101,82.9,17.1
E01000904,791,127,86.2,13.8
E01000905,645,167,79.4,20.6
E01000906,711,77,90.2,9.8
E01000875,657,182,78.3,21.7
E01000876,625,175,78.1,21.9
E01000931,659,214,75.5,24.5
E01000932,815,132,86.1,13.9
E01000974,695,126,84.7,15.3
E01000843,702,144,83,17
E01000845,624,107,85.4,14.6
E01000846,485,131,78.7,21.3
E01000847,538,139,79.5,20.5
E01000864,634,83,88.4,11.6
E01000865,411,40,91.1,8.9
E01000867,521,154,77.2,22.8
E01000868,422,162,72.3,27.7
E01000869,843,124,87.2,12.8
E01000962,628,117,84.3,15.7
E01000964,618,95,86.7,13.3
E01000965,621,143,81.3,18.7
E01000966,584,91,86.5,13.5
E01000968,658,102,86.6,13.4
E01000960,648,193,77.1,22.9
E01000961,479,173,73.5,26.5
E01000963,573,278,67.3,32.7
E01000967,548,71,88.5,11.5
E01000857,621,65,90.5,9.5
E01000858,636,139,82.1,17.9
E01000859,737,70,91.3,8.7
E01000860,684,113,85.8,14.2
E01000862,727,89,89.1,10.9
E01000856,506,122,80.6,19.4
E01000861,632,97,86.7,13.3
E01000957,585,180,76.5,23.5
E01000958,692,143,82.9,17.1
E01000959,539,159,77.2,22.8
E01000929,503,182,73.4,26.6
E01000930,786,290,73,27
E01000933,701,120,85.4,14.6
E01000934,534,198,73,27
E01000935,455,169,72.9,27.1
E01000863,554,113,83.1,16.9
E01000946,572,143,80,20
E01000947,703,168,80.7,19.3
E01000948,723,123,85.5,14.5
E01000952,532,143,78.8,21.2
E01000953,535,173,75.6,24.4
E01000954,468,174,72.9,27.1
E01000955,519,138,79,21
E01000956,418,190,68.8,31.3
E01000944,549,118,82.3,17.7
E01000945,454,157,74.3,25.7
E01000949,637,102,86.2,13.8
E01000950,381,169,69.3,30.7
E01000951,472,131,78.3,21.7
E01000936,403,133,75.2,24.8
E01000938,508,229,68.9,31.1
E01000939,316,130,70.9,29.1
E01000940,390,144,73,27
E01000853,663,177,78.9,21.1
E01000937,371,131,73.9,26.1
E01000941,436,121,78.3,21.7
E01000942,549,137,80,20
E01000943,455,141,76.3,23.7
E01000850,551,113,83,17
E01000851,673,188,78.2,21.8
E01000852,457,168,73.1,26.9
E01000854,530,188,73.8,26.2
E01000915,518,117,81.6,18.4
E01000916,714,167,81,19
E01000917,694,219,76,24
E01000920,789,157,83.4,16.6
E01000855,943,168,84.9,15.1
E01000914,797,173,82.2,17.8
E01000918,784,151,83.9,16.1
E01000919,696,138,83.5,16.5
E01000001,791,85,90.3,9.7
E01000002,774,56,93.3,6.7
E01000003,741,76,90.7,9.3
E01000005,364,103,77.9,22.1
E01032739,536,140,79.3,20.7
E01032740,619,100,86.1,13.9
E01001808,424,134,76,24
E01001809,488,122,80,20
E01001814,438,121,78.4,21.6
E01001823,430,108,79.9,20.1
E01001825,362,66,84.6,15.4
E01001714,440,192,69.6,30.4
E01001811,471,175,72.9,27.1
E01001813,377,148,71.8,28.2
E01033701,557,203,73.3,26.7
E01001799,433,52,89.3,10.7
E01001802,395,76,83.9,16.1
E01001804,382,82,82.3,17.7
E01001807,564,129,81.4,18.6
E01001812,524,90,85.3,14.7
E01001725,457,116,79.8,20.2
E01001726,345,119,74.4,25.6
E01001800,499,144,77.6,22.4
E01001824,408,131,75.7,24.3
E01001826,449,136,76.8,23.2
E01001723,552,119,82.3,17.7
E01001724,774,206,79,21
E01001727,502,71,87.6,12.4
E01001768,622,97,86.5,13.5
E01001769,569,93,86,14
E01001715,537,136,79.8,20.2
E01001716,488,145,77.1,22.9
E01001717,361,66,84.5,15.5
E01001718,679,145,82.4,17.6
E01001719,377,107,77.9,22.1
E01001720,697,88,88.8,11.2
E01001742,696,93,88.2,11.8
E01001801,512,76,87.1,12.9
E01001803,617,102,85.8,14.2
E01001806,629,85,88.1,11.9
E01001741,551,48,92,8
E01001805,420,90,82.4,17.6
E01001829,645,51,92.7,7.3
E01001831,617,128,82.8,17.2
E01001832,557,85,86.8,13.2
E01001764,573,123,82.3,17.7
E01001765,585,137,81,19
E01001767,511,117,81.4,18.6
E01001770,613,171,78.2,21.8
E01033703,487,138,77.9,22.1
E01033713,492,109,81.9,18.1
E01001792,519,101,83.7,16.3
E01001793,558,98,85.1,14.9
E01001794,520,136,79.3,20.7
E01001795,483,88,84.6,15.4
E01001796,571,166,77.5,22.5
E01001736,618,89,87.4,12.6
E01001737,690,64,91.5,8.5
E01001738,667,118,85,15
E01001739,805,93,89.6,10.4
E01001786,561,156,78.2,21.8
E01001787,519,109,82.6,17.4
E01001788,555,115,82.8,17.2
E01001790,377,115,76.6,23.4
E01001740,493,131,79,21
E01001747,748,195,79.3,20.7
