LSOAs,individual_household,All_households,percent_indi_house
E01000907,33,627,33
E01000908,50.8,827,50.8
E01000909,30.1,661,30.1
E01000912,38.6,700,38.6
E01000913,29.1,722,29.1
E01000893,39.3,715,39.3
E01000894,33.8,619,33.8
E01000895,47.9,841,47.9
E01000896,34.1,756,34.1
E01000899,32.8,698,32.8
E01000910,29.4,588,29.4
E01000911,33.2,663,33.2
E01000921,40.3,946,40.3
E01000923,40.5,656,40.5
E01000928,34.3,682,34.3
E01000878,34.2,550,34.2
E01000879,39.4,602,39.4
E01000880,30.8,621,30.8
E01000884,31.4,577,31.4
E01000885,29.1,592,29.1
E01000871,29,632,29
E01000872,41.8,913,41.8
E01000873,33.1,710,33.1
E01000874,32.2,704,32.2
E01000877,37.7,726,37.7
E01000886,30.9,606,30.9
E01000887,38,690,38
E01000888,36.2,697,36.2
E01000892,37.4,823,37.4
E01000903,43.9,686,43.9
E01000889,34.1,657,34.1
E01000890,46.5,767,46.5
E01000891,41.5,672,41.5
E01000901,32.4,703,32.4
E01000922,40.7,653,40.7
E01000927,27.9,734,27.9
E01000881,39.1,632,39.1
E01000882,38.6,728,38.6
E01000883,40.4,638,40.4
E01000897,33.7,721,33.7
E01000898,49.2,850,49.2
E01000866,39.3,926,39.3
E01000870,40.8,774,40.8
E01000924,38.6,795,38.6
E01000925,39.1,629,39.1
E01000926,29.2,698,29.2
E01000969,35.7,954,35.7
E01000970,48.9,831,48.9
E01000971,34.2,649,34.2
E01000972,43.6,949,43.6
E01000973,38.1,894,38.1
E01000842,47,724,47
E01000844,41.6,870,41.6
E01000848,43.2,805,43.2
E01000849,54.1,862,54.1
E01000900,33.8,757,33.8
E01000902,36.6,590,36.6
E01000904,33.7,918,33.7
E01000905,36.9,812,36.9
E01000906,40.5,788,40.5
E01000875,44,839,44
E01000876,42.8,800,42.8
E01000931,40.9,873,40.9
E01000932,42.4,947,42.4
E01000974,43.6,821,43.6
E01000843,41.8,846,41.8
E01000845,46.5,731,46.5
E01000846,35.7,616,35.7
E01000847,34.4,677,34.4
E01000864,37,717,37
E01000865,40.4,451,40.4
E01000867,35.4,675,35.4
E01000868,37.5,584,37.5
E01000869,37.6,967,37.6
E01000962,31.7,745,31.7
E01000964,36.5,713,36.5
E01000965,41,764,41
E01000966,32.9,675,32.9
E01000968,41.3,760,41.3
E01000960,38.2,841,38.2
E01000961,30.2,652,30.2
E01000963,36.5,851,36.5
E01000967,36.3,619,36.3
E01000857,43.9,686,43.9
E01000858,37,775,37
E01000859,47.1,807,47.1
E01000860,64.6,797,64.6
E01000862,35.9,816,35.9
E01000856,32.6,628,32.6
E01000861,43.2,729,43.2
E01000957,34.4,765,34.4
