Code,Median_income,income_in_thou
E01000001,"62,420",62
E01000002,"63,030",63
E01000003,"51,390",51
E01000005,"44,360",44
E01032739,"59,650",60
E01032740,"58,730",59
E01000006,"36,300",36
E01000007,"31,230",31
E01000008,"29,860",30
E01000009,"33,550",34
E01000010,"33,250",33
E01000011,"33,090",33
E01000012,"32,130",32
E01000013,"31,470",31
E01000014,"31,230",31
E01000015,"30,880",31
E01000016,"31,990",32
E01000017,"31,410",31
E01000018,"32,010",32
E01000019,"32,300",32
E01000020,"32,290",32
E01000021,"30,540",31
E01000022,"32,750",33
E01000023,"32,630",33
E01000024,"32,150",32
E01000025,"32,060",32
E01000027,"30,980",31
E01000028,"30,230",30
E01000029,"33,930",34
E01000030,"30,180",30
E01000031,"36,450",36
E01000032,"34,500",35
E01000033,"32,030",32
E01000034,"34,510",35
E01000035,"35,360",35
E01000036,"36,510",37
E01000037,"38,580",39
E01000038,"36,570",37
E01000039,"37,190",37
E01000040,"31,740",32
E01000041,"31,740",32
E01000042,"30,620",31
E01000043,"32,700",33
E01000044,"33,740",34
E01000045,"32,280",32
E01000046,"31,460",31
E01000048,"26,740",27
E01000049,"28,350",28
E01000050,"30,510",31
E01000051,"26,890",27
E01000052,"31,030",31
E01000053,"31,550",32
E01000054,"32,420",32
E01000055,"32,400",32
E01000056,"32,150",32
E01000057,"32,140",32
E01000058,"32,520",33
E01000059,"31,690",32
E01000060,"31,240",31
E01000061,"27,790",28
E01000062,"31,880",32
E01000063,"31,290",31
E01000064,"30,780",31
E01000065,"29,700",30
E01000066,"37,230",37
E01000067,"38,260",38
E01000068,"39,540",40
E01000069,"40,390",40
E01000070,"39,350",39
E01000071,"38,210",38
E01000072,"29,590",30
E01000073,"31,410",31
E01000074,"31,460",31
E01000075,"32,040",32
E01000076,"30,520",31
E01000077,"30,580",31
E01000078,"30,820",31
E01000079,"30,880",31
E01000080,"30,640",31
E01000081,"31,560",32
E01000082,"31,550",32
E01000083,"31,190",31
E01000084,"31,830",32
E01000085,"30,210",30
E01000086,"32,440",32
E01000087,"32,100",32
E01000088,"33,910",34
E01000089,"33,270",33
E01000090,"33,780",34
E01000091,"29,350",29
E01000092,"33,050",33
E01000093,"29,420",29
E01000094,"33,820",34
E01000095,"34,250",34
E01000096,"29,650",30
E01000097,"32,060",32
E01000098,"31,670",32
E01000099,"32,780",33
E01000100,"32,090",32
E01000101,"31,620",32
E01000102,"32,140",32
E01000103,"30,670",31
E01000104,"30,050",30
E01000105,"29,390",29
E01000106,"29,840",30
E01000107,"33,860",34
E01000108,"33,500",34
E01000109,"35,150",35
E01000110,"38,820",39
E01000111,"34,350",34
E01000112,"35,600",36
E01000113,"36,980",37
E01000114,"35,230",35
E01032580,"32,110",32
E01033587,"30,200",30
E01033588,"29,550",30
E01000115,"41,860",42
E01000116,"38,280",38
E01000117,"36,000",36
E01000118,"36,530",37
E01000119,"40,010",40
E01000120,"40,470",40
E01000121,"31,430",31
E01000122,"39,470",39
E01000123,"35,600",36
E01000124,"32,430",32
E01000125,"27,650",28
E01000126,"26,960",27
E01000127,"27,640",28
E01000128,"28,970",29
E01000129,"26,300",26
E01000130,"29,490",29
E01000131,"30,580",31
E01000132,"29,240",29
E01000133,"28,170",28
E01000134,"28,610",29
E01000135,"43,010",43
E01000136,"56,060",56
E01000137,"31,280",31
E01000138,"35,170",35
E01000139,"37,900",38
E01000140,"35,370",35
E01000141,"31,260",31
E01000142,"33,730",34
E01000143,"31,470",31
E01000144,"41,890",42
E01000145,"40,910",41
E01000146,"39,760",40
E01000147,"32,030",32
E01000148,"28,250",28
E01000150,"30,720",31
E01000151,"26,260",26
E01000152,"26,340",26
E01000153,"27,240",27
E01000154,"25,900",26
E01000155,"29,910",30
E01000156,"37,720",38
E01000157,"34,790",35
E01000158,"35,850",36
E01000159,"37,590",38
E01000160,"39,600",40
E01000161,"35,760",36
E01000162,"35,670",36
E01000163,"30,920",31
E01000164,"32,190",32
E01000165,"36,500",37
E01000166,"37,580",38
E01000167,"33,100",33
E01000168,"40,990",41
E01000169,"37,750",38
E01000170,"35,140",35
E01000171,"34,700",35
E01000172,"38,890",39
E01000173,"38,310",38
E01000174,"34,480",34
E01000175,"39,050",39
E01000176,"32,570",33
E01000177,"40,700",41
E01000178,"39,500",40
E01000179,"40,100",40
E01000180,"37,010",37
E01000181,"43,510",44
E01000182,"41,090",41
E01000183,"43,590",44
E01000184,"31,630",32
E01000185,"30,670",31
E01000186,"41,350",41
E01000187,"36,910",37
E01000188,"42,090",42
E01000189,"29,870",30
E01000190,"39,950",40
E01000191,"40,680",41
E01000192,"36,010",36
E01000193,"36,690",37
E01000194,"34,110",34
E01000195,"30,050",30
E01000196,"38,910",39
E01000197,"39,980",40
E01000198,"41,480",41
E01000199,"43,660",44
E01000200,"41,520",42
E01000201,"48,560",49
E01000202,"44,440",44
E01000203,"38,040",38
E01000204,"41,740",42
E01000205,"48,370",48
E01000206,"69,110",69
E01000207,"52,510",53
E01000208,"49,540",50
E01000209,"47,710",48
E01000210,"48,650",49
E01000211,"39,000",39
E01000212,"50,070",50
E01000213,"65,530",66
E01000214,"45,670",46
E01000215,"39,980",40
E01000216,"43,790",44
E01000217,"43,630",44
E01000218,"40,100",40
E01000219,"38,640",39
E01000220,"37,940",38
E01000221,"29,100",29
E01000222,"33,280",33
E01000223,"30,910",31
E01000224,"35,320",35
E01000225,"42,410",42
E01000226,"29,460",29
E01000227,"37,510",38
E01000228,"42,300",42
E01000229,"33,400",33
E01000230,"37,210",37
E01000231,"35,380",35
E01000232,"37,230",37
E01000233,"38,210",38
E01000234,"38,370",38
E01000235,"32,640",33
E01000236,"38,600",39
E01000237,"37,390",37
E01000238,"37,650",38
E01000239,"35,080",35
E01000240,"36,790",37
E01000241,"38,740",39
E01000242,"38,310",38
E01000243,"34,600",35
E01000244,"35,600",36
E01000245,"31,590",32
E01000246,"40,240",40
E01000247,"38,820",39
E01000248,"42,290",42
E01000249,"44,270",44
E01000250,"40,060",40
E01000251,"36,340",36
E01000252,"37,770",38
E01000253,"48,320",48
E01000254,"43,710",44
E01000255,"35,840",36
E01000256,"41,030",41
E01000257,"32,540",33
E01000258,"41,330",41
E01000259,"38,860",39
E01000260,"37,450",37
E01000261,"40,750",41
E01000262,"37,710",38
E01000263,"48,500",49
E01000264,"37,740",38
E01000265,"34,170",34
E01000266,"42,970",43
E01000267,"40,150",40
E01000268,"37,470",37
E01000269,"39,150",39
E01000270,"40,160",40
E01000271,"40,730",41
E01000272,"46,210",46
