LSOA,Population,Census_Population
E01000907,1431,1430
E01000908,1564,1581
E01000909,1602,1614
E01000912,1589,1589
E01000913,1695,1710
E01000893,1563,1566
E01000894,1385,1389
E01000895,1619,1630
E01000896,1683,1692
E01000899,1655,1667
E01000910,1471,1472
E01000911,1557,1559
E01000921,1958,1966
E01000923,1491,1494
E01000928,1673,1681
E01000878,1628,1624
E01000879,1462,1458
E01000880,1588,1602
E01000884,1472,1469
E01000885,1480,1484
E01000871,1661,1664
E01000872,1900,1902
E01000873,1645,1639
E01000874,1564,1559
E01000877,1578,1574
E01000886,1438,1445
E01000887,1481,1486
E01000888,1596,1605
E01000892,1835,1843
E01000903,1444,1439
E01000889,1667,1670
E01000890,1635,1640
E01000891,1570,1575
E01000901,1970,1977
E01000922,1554,1547
E01000927,1745,1738
E01000881,1510,1510
E01000882,1507,1513
E01000883,1326,1326
E01000897,1591,1597
E01000898,1721,1729
E01000866,2033,2030
E01000870,1697,1693
E01000924,1635,1637
E01000925,1558,1563
E01000926,1796,1791
E01000969,2028,2032
E01000970,1444,1444
E01000971,1478,1478
E01000972,2003,2009
E01000973,1887,1885
E01000842,1443,1444
E01000844,1773,1772
E01000848,1583,1588
E01000849,1569,1569
E01000900,1802,1801
E01000902,1447,1451
E01000904,2107,2120
E01000905,2031,2044
E01000906,1525,1532
E01000875,1662,1654
E01000876,1748,1748
E01000931,1909,1910
E01000932,1838,1838
E01000974,1710,1707
E01000843,1675,1678
E01000845,1463,1464
E01000846,1500,1501
E01000847,1683,1686
E01000864,1544,1537
E01000865,1509,1505
E01000867,1614,1608
E01000868,1446,1442
E01000869,2101,2110
E01000962,1585,1592
E01000964,1575,1577
E01000965,1523,1522
E01000966,1510,1512
E01000968,1507,1505
E01000960,1770,1774
E01000961,1587,1591
E01000963,1906,1923
E01000967,1413,1409
E01000857,1452,1447
E01000858,1863,1861
E01000859,1582,1586
E01000860,1305,1307
E01000862,1706,1712
E01000856,1648,1645
E01000861,1577,1574
E01000957,1732,1729
E01000958,2256,2264
E01000959,1666,1670
E01000929,1668,1675
E01000930,1895,1910
E01000933,1675,1671
E01000934,1616,1619
E01000935,1414,1415
E01000863,1483,1481
E01000946,1528,1516
E01000947,1956,1954
E01000948,1724,1736
E01000952,1731,1729
E01000953,1638,1643
E01000954,1648,1656
E01000955,1590,1595
E01000956,1533,1532
E01000944,1905,1899
E01000945,1817,1821
E01000949,1634,1633
E01000950,1431,1431
E01000951,1535,1538
E01000936,1843,1839
E01000938,1747,1752
E01000939,1220,1223
E01000940,1136,1130
E01000853,1628,1631
E01000937,1512,1504
E01000941,1231,1230
E01000942,2111,2111
E01000943,1054,1054
E01000850,1701,1694
E01000851,2390,2383
E01000852,1590,1587
E01000854,1842,1833
E01000915,1534,1527
E01000916,1793,1796
E01000917,1874,1888
E01000920,1935,1946
E01000855,1760,1764
E01000914,1764,1762
E01000918,2079,2090
E01000919,2014,2014
E01000001,1472,1465
E01000002,1438,1436
E01000003,1348,1346
E01000005,987,985
E01032739,1055,1044
E01032740,1112,1099
E01001808,1847,1838
E01001809,1971,1977
E01001814,1663,1660
E01001823,1757,1765
E01001825,1593,1598
E01001714,1496,1490
E01001811,1499,1503
E01001813,1259,1250
E01033701,1842,1849
E01001799,1585,1582
E01001802,1296,1294
E01001804,1530,1528
E01001807,1819,1806
E01001812,1752,1746
E01001725,1914,1909
E01001726,1365,1357
E01001800,1602,1597
E01001824,1512,1517
E01001826,1738,1740
E01001723,1967,1944
E01001724,2238,2219
E01001727,1920,1920
E01001768,1840,1825
E01001769,1612,1594
E01001715,1339,1321
E01001716,1329,1318
E01001717,1227,1222
E01001718,1806,1787
E01001719,1145,1139
E01001720,1757,1736
E01001742,1817,1810
E01001801,1665,1664
E01001803,1857,1863
E01001806,1549,1546
E01001741,1497,1490
E01001805,1219,1206
E01001829,1787,1794
E01001831,1685,1677
E01001832,1630,1619
E01001764,1696,1688
E01001765,1726,1717
E01001767,1611,1603
E01001770,1744,1738
E01033703,1420,1410
E01033713,1351,1346
E01001792,1779,1780
E01001793,1698,1685
E01001794,1908,1909
E01001795,1473,1464
E01001796,1653,1647
E01001736,1668,1656
E01001737,1851,1842
E01001738,1767,1758
E01001739,2090,2090
E01001786,1817,1825
E01001787,1585,1589
E01001788,1583,1582
E01001790,1345,1343
E01001740,1565,1566
E01001747,2143,2137
E01001830,1899,1904
E01001833,2149,2143
E01001834,2070,2059
E01001835,1257,1249
E01001733,1830,1822
E01001785,1491,1486
E01001789,1747,1739
E01001791,1540,1534
E01001745,2259,2249
E01001746,1653,1656
E01001757,1723,1717
E01001758,2094,2087
E01001759,1819,1804
E01001761,1785,1779
E01001731,2314,2300
E01001734,1838,1821
E01001760,1769,1754
E01001762,1781,1765
E01001846,1215,1216
E01001847,1130,1129
E01001848,1647,1654
E01001849,2361,2364
E01001729,2031,2021
E01001730,1923,1921
E01001732,1719,1715
E01001735,1623,1632
E01001838,1739,1746
E01001850,1809,1810
E01001748,2318,2306
E01001749,1730,1717
E01001763,1647,1642
E01001816,1631,1625
E01001819,1579,1577
E01001744,1887,1879
E01001750,1846,1838
E01001751,1558,1547
E01001756,2170,2155
E01033698,1255,1259
E01033699,1229,1217
E01033700,1580,1566
E01033707,1311,1303
E01001836,1872,1866
E01001840,1676,1676
E01001841,1412,1411
E01001844,2022,2006
E01001845,1549,1555
E01001837,1490,1488
E01001839,2231,2211
E01001842,1597,1589
E01001843,1243,1244
E01033704,1637,1631
E01033712,1593,1578
E01001772,1051,1046
E01001774,2117,2095
E01001775,1778,1776
E01001815,1774,1774
E01001820,1464,1463
E01001821,1470,1460
E01001752,2312,2307
E01001753,1635,1629
E01001754,2387,2379
E01001755,1800,1788
E01001773,2063,2052
E01001776,1441,1439
E01001779,2441,2437
E01001781,1682,1667
E01001782,2306,2300
E01001783,1911,1897
E01001777,2368,2358
E01001780,1832,1825
E01001784,2291,2273
E01033706,1559,1539
E01033708,1616,1599
E01033709,1688,1670
E01033711,1119,1105
E01001798,1792,1785
E01001828,2049,2057
E01033702,1203,1193
E01033705,1421,1417
E01033710,1172,1159
E01001722,2029,2028
E01001728,2039,2015
E01001822,1793,1785
E01001827,1902,1916
E01001874,2053,2055
E01001875,1838,1854
E01001876,2213,2232
E01001877,1341,1345
